data,retorno_carteira_tercil_1,retorno_carteira_tercil_2,retorno_carteira_tercil_3,factor_momentum
2010-03-01,0.01009136965570083,0.014278156694922705,0.0016312275295861964,0.008460142126114633
2010-03-02,0.005879523447147035,0.008794817542386136,0.004750642865778017,0.0011288805813690177
2010-03-03,-0.008919520464927125,-0.00019607510826653081,0.000670922068357628,-0.009590442533284753
2010-03-04,-0.0074008968143059566,0.0021289270611475424,-0.0015221839553615306,-0.0058787128589444255
2010-03-05,-0.006387149653998677,0.0062561313242154425,0.004480706196356798,-0.010867855850355476
2010-03-08,-0.00634713053471407,-0.001180553071638298,-0.0038364654860383604,-0.0025106650486757098
2010-03-09,0.006942620687830387,0.01331553563878928,0.012060675528333424,-0.0051180548405030364
2010-03-10,0.012096016420125465,0.0007358436441590342,0.010522730861315548,0.0015732855588099174
2010-03-11,0.002127378111470239,-0.0028743315076978546,-0.0017487717395306022,0.003876149851000841
2010-03-12,-0.009826223103604361,-0.0066097063953322165,-0.010482840581642628,0.0006566174780382669
2010-03-15,-0.011286348932157712,-0.006105799078299564,-0.0032078836040883717,-0.00807846532806934
2010-03-16,0.009340300921012042,0.007921758774643657,0.008453976816376415,0.0008863241046356274
2010-03-17,-0.005208235124674269,0.000551472911250601,2.0119331479577868e-05,-0.005228354456153847
2010-03-18,0.0029581618748440184,0.0018815862324512917,0.0014393838179956628,0.0015187780568483556
2010-03-19,-0.007477694167525105,-0.011808321652327645,-0.002928005014084572,-0.004549689153440533
2010-03-22,-0.0012508245039823704,-0.000579863880572201,-0.001491090733356704,0.0002402662293743336
2010-03-23,-0.005535072849244556,0.006657942607125439,-0.002291760901982506,-0.00324331194726205
2010-03-24,-0.01066064681290776,-0.010005680872220942,-0.010348745368246655,-0.00031190144466110466
2010-03-25,0.0009135902300495916,-0.0025358550579666034,-0.00522133639926534,0.0061349266293149315
2010-03-26,-0.0016605138509456527,0.0063829628008258135,-0.0020142507629388718,0.0003537369119932191
2010-03-29,-0.00014834539610844268,0.01740033647210904,0.005003992164882487,-0.005152337560990929
2010-03-30,-0.007843133106948211,0.0006424615989209576,-0.0017755293184024093,-0.006067603788545802
2010-03-31,0.007078165342365766,0.003116439904785121,-0.0033050489090220283,0.010383214251387794
2010-04-01,0.005286561035585512,0.008783125921366361,0.0030759122647036926,0.0022106487708818197
2010-04-05,0.0011554654351430406,0.0018841344374784384,0.0032481478177257715,-0.002092682382582731
2010-04-06,0.0011725964583137152,-0.0036108912185993944,-0.003696317689299159,0.004868914147612874
2010-04-07,0.0033043751790226127,-0.0023275388463155724,-0.0035986546197448494,0.006903029798767462
2010-04-08,0.009540140391712533,0.010445756132811356,0.0046937243632461925,0.0048464160284663405
2010-04-09,-0.0034321980546064956,-0.005468827542929454,-0.004340031049786304,0.0009078329951798083
2010-04-12,0.0007272424346904959,-0.006236696902554676,-0.010114178886534287,0.010841421321224783
2010-04-13,-0.0019493977598654924,0.0027425681950626604,0.002809708965929539,-0.004759106725795032
2010-04-14,0.014976165021453224,0.005338673420127176,0.005083316090331323,0.009892848931121901
2010-04-15,0.0024046872657099744,-0.003684098958749191,-0.007932534215756262,0.010337221481466236
2010-04-16,-0.013430007528073617,-0.010923090831526181,-0.009656658066860726,-0.0037733494612128913
2010-04-19,-0.0111589794283272,-0.005668548469493767,-0.00043046962698851585,-0.010728509801338684
2010-04-20,0.005561693339117153,0.0038725151252683742,0.004203598697521051,0.0013580946415961024
2010-04-22,0.0047038268801192695,0.005237083249531608,0.0029248436830219067,0.0017789831970973628
2010-04-23,0.0047525025402503215,0.00305094164056424,0.0024774435012029855,0.002275059039047336
2010-04-26,-0.006563273621619957,-0.0025072416306900942,-0.008956884360753073,0.0023936107391331167
2010-04-27,-0.023425101135913926,-0.025854974280050288,-0.016277095237859068,-0.007148005898054859
2010-04-28,-0.0055727399174291545,-0.003280208036990884,0.0006994949980048167,-0.0062722349154339715
2010-04-29,0.014431655851985511,0.011427261000454544,0.008914145798899667,0.0055175100530858445
2010-04-30,0.0078775878567156,0.00850105495017623,0.005244043651804297,0.002633544204911303
2010-05-03,0.0037463965318655567,0.0038316108429040613,0.005625609457095342,-0.001879212925229785
