"Ativo","Nome","Classe","Subsetor Bovespa","Tipo de Ativo","Bolsa / Fonte","Código"
"RENT4<XBSP>","Localiza","PN Resg","Diversos","Ação","Bovespa","RENT4"
"LCAM3<XBSP>","Locamerica","ON","Diversos","Ação","Bovespa","LCAM3"
"LOGG3<XBSP>","Log Com Prop","ON","Exploração de imóveis","Ação","Bovespa","LOGG3"
"LOGN3<XBSP>","Log-In","ON","Transporte","Ação","Bovespa","LOGN3"
"LAME3<XBSP>","Lojas Americ","ON","Comércio","Ação","Bovespa","LAME3"
"LAME4<XBSP>","Lojas Americ","PN","Comércio","Ação","Bovespa","LAME4"
"LAME98<XBSP>","Lojas Americ","UNT","Comércio","Ação","Bovespa","LAME98"
"LAME99<XBSP>","Lojas Americ","UNT","Comércio","Ação","Bovespa","LAME99"
"LOAR4<XBSP>","Lojas Arapua","PN","-","Ação","Bovespa","LOAR4"
"LHER3<XBSP>","Lojas Hering","ON","Exploração de imóveis","Ação","Bovespa","LHER3"
"LHER4<XBSP>","Lojas Hering","PN","Exploração de imóveis","Ação","Bovespa","LHER4"
"AMAR3<XBSP>","Lojas Marisa","ON","Comércio","Ação","Bovespa","AMAR3"
"LREN3<XBSP>","Lojas Renner","ON","Comércio","Ação","Bovespa","LREN3"
"LREN4<XBSP>","Lojas Renner","PN","Comércio","Ação","Bovespa","LREN4"
"SPRT3B<XBSP>","Longdis","ON","Outros","Ação","Bovespa","SPRT3B"
"LPSB3<XBSP>","Lopes Brasil","ON","Exploração de imóveis","Ação","Bovespa","LPSB3"
"LORZ4<XBSP>","Lorenz","PN","-","Ação","Bovespa","LORZ4"
"LUPA3<XBSP>","Lupatech","ON","Petróleo gás e biocombustíveis","Ação","Bovespa","LUPA3"
"LWSA3<XBSP>","Lwsa","ON","Programas e serviços","Ação","Bovespa","LWSA3"
"RHDS3<XBSP>","M G Poliest","ON","-","Ação","Bovespa","RHDS3"
"RHDS4<XBSP>","M G Poliest","PN","-","Ação","Bovespa","RHDS4"
"MDIA3<XBSP>","M.Diasbranco","ON","Alimentos processados","Ação","Bovespa","MDIA3"
"MADE4<XBSP>","Madeirit","PN","-","Ação","Bovespa","MADE4"
"MSRO3<XBSP>","Maestroloc","ON","Diversos","Ação","Bovespa","MSRO3"
"MGLU3<XBSP>","Magaz Luiza","ON","Comércio","Ação","Bovespa","MGLU3"
"MAGS3<XBSP>","Magnesita","ON","-","Ação","Bovespa","MAGS3"
"MAGS5<XBSP>","Magnesita","PNA","-","Ação","Bovespa","MAGS5"
"MAGS7<XBSP>","Magnesita","PNC","-","Ação","Bovespa","MAGS7"
"MAGG3<XBSP>","Magnesita SA","ON","Materiais diversos","Ação","Bovespa","MAGG3"
"MLCF4<XBSP>","Mahle-Cofap","PN","-","Ação","Bovespa","MLCF4"
"GALO4<XBSP>","Maio Gallo","PN","-","Ação","Bovespa","GALO4"
"MAKR3<XBSP>","Makro","ON","-","Ação","Bovespa","MAKR3"
"MNSA3<XBSP>","Manasa","ON","-","Ação","Bovespa","MNSA3"
"MNSA4<XBSP>","Manasa","PN","-","Ação","Bovespa","MNSA4"
"MGEL3<XBSP>","Mangels Indl","ON","Siderurgia e metalurgia","Ação","Bovespa","MGEL3"
"MGEL4<XBSP>","Mangels Indl","PN","Siderurgia e metalurgia","Ação","Bovespa","MGEL4"
"MANM3<XBSP>","Mannesmann","ON","-","Ação","Bovespa","MANM3"
"MANM4<XBSP>","Mannesmann","PN","-","Ação","Bovespa","MANM4"
"MAOR3B<XBSP>","Maori","ON","Outros","Ação","Bovespa","MAOR3B"
"MAOR4B<XBSP>","Maori","PN","Outros","Ação","Bovespa","MAOR4B"
"CTPC3<XBSP>","Marambaia","ON","-","Ação","Bovespa","CTPC3"
"CTPC4<XBSP>","Marambaia","PN","-","Ação","Bovespa","CTPC4"
"POMO3<XBSP>","Marcopolo","ON","Material de transporte","Ação","Bovespa","POMO3"
"POMO4<XBSP>","Marcopolo","PN","Material de transporte","Ação","Bovespa","POMO4"
"MBRF3<XBSP>","Marfrig","ON","Alimentos processados","Ação","Bovespa","MBRF3"
"MRSL3<XBSP>","Marisol","ON","-","Ação","Bovespa","MRSL3"
"MRSL4<XBSP>","Marisol","PN","-","Ação","Bovespa","MRSL4"
"MATD3<XBSP>","Mater Dei","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa","MATD3"
"MCWS3<XBSP>","Mcom Wireles","ON","-","Ação","Bovespa","MCWS3"
"MCWS4<XBSP>","Mcom Wireles","PN","-","Ação","Bovespa","MCWS4"
"MEC4<XBSP>","Mec Pesada","PN","-","Ação","Bovespa","MEC4"
"MEDI3<XBSP>","Medial Saude","ON","-","Ação","Bovespa","MEDI3"
"MSPA3<XBSP>","Melhor SP","ON","Madeira e papel","Ação","Bovespa","MSPA3"
"MSPA4<XBSP>","Melhor SP","PN","Madeira e papel","Ação","Bovespa","MSPA4"
"CASH3<XBSP>","Meliuz","ON","Programas e serviços","Ação","Bovespa","CASH3"
"MELK3<XBSP>","Melnick","ON","Construção civil","Ação","Bovespa","MELK3"
"MLPA3<XBSP>","Melpaper","ON","-","Ação","Bovespa","MLPA3"
"MLPA4<XBSP>","Melpaper","PN","-","Ação","Bovespa","MLPA4"
"MEND3<XBSP>","Mendes Jr","ON","Construção e engenharia","Ação","Bovespa","MEND3"
"MEND5<XBSP>","Mendes Jr","PNA","Construção e engenharia","Ação","Bovespa","MEND5"
"MEND6<XBSP>","Mendes Jr","PNB","Construção e engenharia","Ação","Bovespa","MEND6"
"MNZC3<XBSP>","Menezes Cort","ON","Exploração de imóveis","Ação","Bovespa","MNZC3"
"BMCT4<XBSP>","Merc S Paulo","PN","-","Ação","Bovespa","BMCT4"
"MESB4<XBSP>","Mesbla","PN","-","Ação","Bovespa","MESB4"
"DUQE3<XBSP>","Met Duque","ON","-","Ação","Bovespa","DUQE3"
"DUQE4<XBSP>","Met Duque","PN","-","Ação","Bovespa","DUQE4"
"MTIG3<XBSP>","Metal Iguacu","ON","Embalagens","Ação","Bovespa","MTIG3"
"MTIG4<XBSP>","Metal Iguacu","PN","Embalagens","Ação","Bovespa","MTIG4"
"LEVE3<XBSP>","Metal Leve","ON","Automóveis e motocicletas","Ação","Bovespa","LEVE3"
"LEVE4<XBSP>","Metal Leve","PN","Automóveis e motocicletas","Ação","Bovespa","LEVE4"
"FRIO3<XBSP>","Metalfrio","ON","Máquinas e equipamentos","Ação","Bovespa","FRIO3"
"MTSA3<XBSP>","Metisa","ON","Máquinas e equipamentos","Ação","Bovespa","MTSA3"
"MTSA4<XBSP>","Metisa","PN","Máquinas e equipamentos","Ação","Bovespa","MTSA4"
"MTDO3<XBSP>","Metodo Engenharia","ON","-","Ação","Bovespa","MTDO3"
"MTDO4<XBSP>","Metodo Engenharia","PN","-","Ação","Bovespa","MTDO4"
"MTDO5<XBSP>","Metodo Engenharia","PNA","-","Ação","Bovespa","MTDO5"
"MTDO6<XBSP>","Metodo Engenharia","PNB","-","Ação","Bovespa","MTDO6"
"MTDO7<XBSP>","Metodo Engenharia","PNC","-","Ação","Bovespa","MTDO7"
"MTDO8<XBSP>","Metodo Engenharia","PND","-","Ação","Bovespa","MTDO8"
"LETO3<XBSP>","Micheletto","ON","-","Ação","Bovespa","LETO3"
"LETO5<XBSP>","Micheletto","PNA","-","Ação","Bovespa","LETO5"
"MILS3<XBSP>","Mills","ON","Máquinas e equipamentos","Ação","Bovespa","MILS3"
"MMAQ3<XBSP>","Minasmaquina","ON","Comércio","Ação","Bovespa","MMAQ3"
"MMAQ4<XBSP>","Minasmaquina","PN","Comércio","Ação","Bovespa","MMAQ4"
"BEEF3<XBSP>","Minerva","ON","Alimentos processados","Ação","Bovespa","BEEF3"
"MNPR3<XBSP>","Minupar","ON","Alimentos processados","Ação","Bovespa","MNPR3"
"MNPR4<XBSP>","Minupar","PN","Alimentos processados","Ação","Bovespa","MNPR4"
"MTRE3<XBSP>","Mitre Realty","ON","Construção civil","Ação","Bovespa","MTRE3"
"MMXM3<XBSP>","MMX Miner","ON","Mineração","Ação","Bovespa","MMXM3"
"MOAR3<XBSP>","Mont Aranha","ON","Holdings diversificadas","Ação","Bovespa","MOAR3"
"VEMG4<XBSP>","Montreal","PN","-","Ação","Bovespa","VEMG4"
"MOSI3<XBSP>","Mosaico","ON","Programas e serviços","Ação","Bovespa","MOSI3"
"MOTV3<XBSP>","Motiva SA","ON","Transporte","Ação","Bovespa","MOTV3"
"MDNE3<XBSP>","Moura Dubeux","ON","Construção civil","Ação","Bovespa","MDNE3"
"MOVI3<XBSP>","Movida","ON","Diversos","Ação","Bovespa","MOVI3"
"MRSA3B<XBSP>","Mrs Logist","ON","Transporte","Ação","Bovespa","MRSA3B"
"MRSA5B<XBSP>","Mrs Logist","PNA","Transporte","Ação","Bovespa","MRSA5B"
"MRSA6B<XBSP>","Mrs Logist","PNB","Transporte","Ação","Bovespa","MRSA6B"
"MRVE3<XBSP>","MRV","ON","Construção civil","Ação","Bovespa","MRVE3"
"MRVE99<XBSP>","MRV","UNT","Construção civil","Ação","Bovespa","MRVE99"
"MULL4<XBSP>","Muller","PN","-","Ação","Bovespa","MULL4"
"MLAS3<XBSP>","Multilaser","ON","Computadores e equipamentos","Ação","Bovespa","MLAS3"
"MULT3<XBSP>","Multiplan","ON","Exploração de imóveis","Ação","Bovespa","MULT3"
"MPLU3<XBSP>","Multiplus","ON","Diversos","Ação","Bovespa","MPLU3"
"MNDL3<XBSP>","Mundial","ON","Tecidos vestuário e calçados","Ação","Bovespa","MNDL3"
"MNDL4<XBSP>","Mundial","PN","Tecidos vestuário e calçados","Ação","Bovespa","MNDL4"
"BNAC3<XBSP>","Nacional","ON","-","Ação","Bovespa","BNAC3"
"BNAC4<XBSP>","Nacional","PN","-","Ação","Bovespa","BNAC4"
"NAFG3<XBSP>","Nadir Figuei","ON","Utilidades domésticas","Ação","Bovespa","NAFG3"
"NAFG4<XBSP>","Nadir Figuei","PN","Utilidades domésticas","Ação","Bovespa","NAFG4"
"NAKT4<XBSP>","Nakata","PN","-","Ação","Bovespa","NAKT4"
"NATU3<XBSP>","Natura","ON","Produtos de uso pessoal e de limpeza","Ação","Bovespa","NATU3"
"NEOE3<XBSP>","Neoenergia","ON","Energia elétrica","Ação","Bovespa","NEOE3"
"NGRD3<XBSP>","Neogrid","ON","Programas e serviços","Ação","Bovespa","NGRD3"
"NETC3<XBSP>","Net","ON","-","Ação","Bovespa","NETC3"
"NETC4<XBSP>","Net","PN","-","Ação","Bovespa","NETC4"
"NEWT3B<XBSP>","Newtel Part","ON","Outros","Ação","Bovespa","NEWT3B"
"NEXP3<XBSP>","Nexpe","ON","Exploração de imóveis","Ação","Bovespa","NEXP3"
"CARB5<XBSP>","Nitrocarbono","PNA","-","Ação","Bovespa","CARB5"
"NORD3<XBSP>","Nordon Met","ON","Máquinas e equipamentos","Ação","Bovespa","NORD3"
"NRTQ3<XBSP>","Nortcquimica","ON","Medicamentos e outros produtos","Ação","Bovespa","NRTQ3"
"BNCA3<XBSP>","Nossa Caixa","ON","-","Ação","Bovespa","BNCA3"
"NUTR3<XBSP>","Nutriplant","ON","Químicos","Ação","Bovespa","NUTR3"
"OPCT3<XBSP>","Oceanpact","ON","Petróleo gás e biocombustíveis","Ação","Bovespa","OPCT3"
"ODBE4<XBSP>","Odebrecht","PN","-","Ação","Bovespa","ODBE4"
"ODER3<XBSP>","Oderich","ON","Alimentos processados","Ação","Bovespa","ODER3"
"ODER4<XBSP>","Oderich","PN","Alimentos processados","Ação","Bovespa","ODER4"
"OGXP3<XBSP>","OGX Petroleo","ON","Petróleo gás e biocombustíveis","Ação","Bovespa","OGXP3"
"OIBR3<XBSP>","Oi","ON","Telecomunicações","Ação","Bovespa","OIBR3"
"OIBR4<XBSP>","Oi","PN","Telecomunicações","Ação","Bovespa","OIBR4"
"OLMA4<XBSP>","Olma","PN","-","Ação","Bovespa","OLMA4"
"OLVB4<XBSP>","Olvebra","PN","-","Ação","Bovespa","OLVB4"
"ONCO3<XBSP>","Oncoclinicas","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa","ONCO3"
"OPHE3B<XBSP>","Opport Energ","ON","Outros","Ação","Bovespa","OPHE3B"
"OBTC3<XBSP>","Oranjebtc","ON","-","Ação","Bovespa","OBTC3"
"ORIO4<XBSP>","Orion","PN","-","Ação","Bovespa","ORIO4"
"ORVR3<XBSP>","Orizon","ON","Água e saneamento","Ação","Bovespa","ORVR3"
"OSXB3<XBSP>","OSX Brasil","ON","Petróleo gás e biocombustíveis","Ação","Bovespa","OSXB3"
"OFSA3<XBSP>","Ourofino S/A","ON","Medicamentos e outros produtos","Ação","Bovespa","OFSA3"
"OXIT4<XBSP>","Oxiteno","PN","-","Ação","Bovespa","OXIT4"
"PCAR3<XBSP>","P.Acucar-Cbd","ON","Comércio e distribuição","Ação","Bovespa","PCAR3"
"PCAR4<XBSP>","P.Acucar-Cbd","PN","Comércio e distribuição","Ação","Bovespa","PCAR4"
"PCAR99<XBSP>","P.Acucar-Cbd","UNT","Comércio e distribuição","Ação","Bovespa","PCAR99"
"PACF3<XBSP>","Pacific Rdsl","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa","PACF3"
"PDTC3<XBSP>","Padtec","ON","Programas e serviços","Ação","Bovespa","PDTC3"
"PGMN3<XBSP>","Pague Menos","ON","Comércio e distribuição","Ação","Bovespa","PGMN3"
"PATI3<XBSP>","Panatlantica","ON","Siderurgia e metalurgia","Ação","Bovespa","PATI3"
"PATI4<XBSP>","Panatlantica","PN","Siderurgia e metalurgia","Ação","Bovespa","PATI4"
"PNXS4<XBSP>","Panex","PN","-","Ação","Bovespa","PNXS4"
"PEAB3<XBSP>","Par Al Bahia","ON","Holdings diversificadas","Ação","Bovespa","PEAB3"
"PEAB4<XBSP>","Par Al Bahia","PN","Holdings diversificadas","Ação","Bovespa","PEAB4"
"PRBN4<XBSP>","Paraibuna","PN","-","Ação","Bovespa","PRBN4"
"PMAM3<XBSP>","Paranapanema","ON","Siderurgia e metalurgia","Ação","Bovespa","PMAM3"
"PMAM4<XBSP>","Paranapanema","PN","Siderurgia e metalurgia","Ação","Bovespa","PMAM4"
"PALF3<XBSP>","Paul F Luz","ON","-","Ação","Bovespa","PALF3"
"PALF5<XBSP>","Paul F Luz","PNA","-","Ação","Bovespa","PALF5"
"PALF6<XBSP>","Paul F Luz","PNB","-","Ação","Bovespa","PALF6"
"PALF7<XBSP>","Paul F Luz","PNC","-","Ação","Bovespa","PALF7"
"PDGR3<XBSP>","PDG Realt","ON","Construção civil","Ação","Bovespa","PDGR3"
"PXEC4<XBSP>","Peixe","PN","-","Ação","Bovespa","PXEC4"
"PRSC4<XBSP>","Persico","PN","-","Ação","Bovespa","PRSC4"
"RPMG3<XBSP>","Pet Manguinh","ON","Petróleo gás e biocombustíveis","Ação","Bovespa","RPMG3"
"RPMG4<XBSP>","Pet Manguinh","PN","Petróleo gás e biocombustíveis","Ação","Bovespa","RPMG4"
"PETR3<XBSP>","Petrobras","ON","Petróleo gás e biocombustíveis","Ação","Bovespa","PETR3"
"PETR4<XBSP>","Petrobras","PN","Petróleo gás e biocombustíveis","Ação","Bovespa","PETR4"
"BRDT4-old<XBSP>","Petrobras Distrib","PN","-","Ação","Bovespa","BRDT4-old"
"PEFX3<XBSP>","Petroflex","ON","-","Ação","Bovespa","PEFX3"
"PEFX5<XBSP>","Petroflex","PNA","-","Ação","Bovespa","PEFX5"
"PQUN3<XBSP>","Petroq Uniao","ON","-","Ação","Bovespa","PQUN3"
"PQUN4<XBSP>","Petroq Uniao","PN","-","Ação","Bovespa","PQUN4"
"PTQS3<XBSP>","Petroquisa","ON","-","Ação","Bovespa","PTQS3"
"PTQS4<XBSP>","Petroquisa","PN","-","Ação","Bovespa","PTQS4"
"RECV3<XBSP>","Petrorecsa","ON","Petróleo gás e biocombustíveis","Ação","Bovespa","RECV3"
"PRIO3<XBSP>","Petrorio","ON","Petróleo gás e biocombustíveis","Ação","Bovespa","PRIO3"
"PTNT3<XBSP>","Pettenati","ON","Tecidos vestuário e calçados","Ação","Bovespa","PTNT3"
"PTNT4<XBSP>","Pettenati","PN","Tecidos vestuário e calçados","Ação","Bovespa","PTNT4"
"AUAU3<XBSP>","Petzcobasi","ON","Comércio","Ação","Bovespa","AUAU3"
"PVPR4<XBSP>","Peve Predios","PN","-","Ação","Bovespa","PVPR4"
"PVFS4<XBSP>","Peve-Finasa","PN","-","Ação","Bovespa","PVFS4"
"PIRE3<XBSP>","Pirelli","ON","-","Ação","Bovespa","PIRE3"
"PIRE4<XBSP>","Pirelli","PN","-","Ação","Bovespa","PIRE4"
"PIPN3<XBSP>","Pirelli Pneus","ON","-","Ação","Bovespa","PIPN3"
"PIPN4<XBSP>","Pirelli Pneus","PN","-","Ação","Bovespa","PIPN4"
"PLPL3<XBSP>","Planoeplano","ON","Construção civil","Ação","Bovespa","PLPL3"
"PLAS3<XBSP>","Plascar Part","ON","Automóveis e motocicletas","Ação","Bovespa","PLAS3"
"PLAS4<XBSP>","Plascar Part","PN","Automóveis e motocicletas","Ação","Bovespa","PLAS4"
"POLA3<XBSP>","Polar","ON","-","Ação","Bovespa","POLA3"
"POLA4<XBSP>","Polar","PN","-","Ação","Bovespa","POLA4"
"PLDN3<XBSP>","Polialden","ON","-","Ação","Bovespa","PLDN3"
"PLDN4<XBSP>","Polialden","PN","-","Ação","Bovespa","PLDN4"
"POPR3<XBSP>","Polipropileno","ON","-","Ação","Bovespa","POPR3"
"POPR4<XBSP>","Polipropileno","PN","-","Ação","Bovespa","POPR4"
"PORP3<XBSP>","Polipropileno Parti","ON","-","Ação","Bovespa","PORP3"
"PORP4<XBSP>","Polipropileno Parti","PN","-","Ação","Bovespa","PORP4"
"PLTO3<XBSP>","Politeno","ON","-","Ação","Bovespa","PLTO3"
"PLTO5<XBSP>","Politeno","PNA","-","Ação","Bovespa","PLTO5"
"PLTO6<XBSP>","Politeno","PNB","-","Ação","Bovespa","PLTO6"
"PPAR3<XBSP>","Polpar","ON","Outros","Ação","Bovespa","PPAR3"
"FRTA3<XBSP>","Pomifrutas","ON","Agropecuária","Ação","Bovespa","FRTA3"
"PSSA3<XBSP>","Porto Seguro","ON","Previdência e seguros","Ação","Bovespa","PSSA3"
"PTBL3<XBSP>","Portobello","ON","Construção e engenharia","Ação","Bovespa","PTBL3"
"PTBL4<XBSP>","Portobello","PN","Construção e engenharia","Ação","Bovespa","PTBL4"
"PRTX3<XBSP>","Portx","ON","-","Ação","Bovespa","PRTX3"
"POSI3<XBSP>","Positivo Tec","ON","Computadores e equipamentos","Ação","Bovespa","POSI3"
"PPLA36<XBSP>","Ppla","A.","Serviços financeiros diversos","Ação","Bovespa","PPLA36"
"PPLA35<XBSP>","Ppla","B.","Serviços financeiros diversos","Ação","Bovespa","PPLA35"
"PPLA11<XBSP>","Ppla","UNT","Serviços financeiros diversos","Ação","Bovespa","PPLA11"
"PQTM3<XBSP>","Pq Hopi Hari","ON","Viagens e lazer","Ação","Bovespa","PQTM3"
"PQTM4<XBSP>","Pq Hopi Hari","PN","Viagens e lazer","Ação","Bovespa","PQTM4"
"PRCA3<XBSP>","Pratica","ON","Máquinas e equipamentos","Ação","Bovespa","PRCA3"
"PTCA3<XBSP>","Pratica","ON","Máquinas e equipamentos","Ação","Bovespa","PTCA3"
"PTCA11<XBSP>","Pratica","PN Resg","Máquinas e equipamentos","Ação","Bovespa","PTCA11"
"PRNR3<XBSP>","Priner","ON","Serviços diversos","Ação","Bovespa","PRNR3"
"PMET3<XBSP>","Pro Metalurg","ON","-","Ação","Bovespa","PMET3"
"PMET5<XBSP>","Pro Metalurg","PNA","-","Ação","Bovespa","PMET5"
"PMET6<XBSP>","Pro Metalurg","PNB","-","Ação","Bovespa","PMET6"
"PFRM3<XBSP>","Profarma","ON","Comércio e distribuição","Ação","Bovespa","PFRM3"
"BPRG4<XBSP>","Progresso","PN","-","Ação","Bovespa","BPRG4"
"PRMN3B<XBSP>","Proman","ON","-","Ação","Bovespa","PRMN3B"
"PMT4<XBSP>","Prometal","PN","-","Ação","Bovespa","PMT4"
"PRPT3<XBSP>","Prompt Part","ON","Outros","Ação","Bovespa","PRPT3"
"PNOR3<XBSP>","Pronor","ON","-","Ação","Bovespa","PNOR3"
"PNOR5<XBSP>","Pronor","PNA","-","Ação","Bovespa","PNOR5"
"PNOR6<XBSP>","Pronor","PNB","-","Ação","Bovespa","PNOR6"
"PRVI3<XBSP>","Providencia","ON","-","Ação","Bovespa","PRVI3"
"PRML3<XBSP>","Prumo","ON","Transporte","Ação","Bovespa","PRML3"
"QUAL3<XBSP>","Qualicorp","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa","QUAL3"
"QUSW3<XBSP>","Quality Soft","ON","Programas e serviços","Ação","Bovespa","QUSW3"
"SZPQ3<XBSP>","Quattor Petr","ON","-","Ação","Bovespa","SZPQ3"
"SZPQ4<XBSP>","Quattor Petr","PN","-","Ação","Bovespa","SZPQ4"
"LJQQ3<XBSP>","Quero-Quero","ON","Comércio","Ação","Bovespa","LJQQ3"
"QGNE4<XBSP>","Quimica Geral","PN","-","Ação","Bovespa","QGNE4"
"RAIA3<XBSP>","Raia","ON","-","Ação","Bovespa","RAIA3"
"RADL3<XBSP>","RaiaDrogasil","ON","Comércio e distribuição","Ação","Bovespa","RADL3"
"DROG5<XBSP>","RaiaDrogasil","PNA","Comércio e distribuição","Ação","Bovespa","DROG5"
"DROG6<XBSP>","RaiaDrogasil","PNB","Comércio e distribuição","Ação","Bovespa","DROG6"
"DROG7<XBSP>","RaiaDrogasil","PNC","Comércio e distribuição","Ação","Bovespa","DROG7"
"DROG8<XBSP>","RaiaDrogasil","PND","Comércio e distribuição","Ação","Bovespa","DROG8"
"DROG11<XBSP>","RaiaDrogasil","PNE","Comércio e distribuição","Ação","Bovespa","DROG11"
"DROG12<XBSP>","RaiaDrogasil","PNF","Comércio e distribuição","Ação","Bovespa","DROG12"
"DROG13<XBSP>","RaiaDrogasil","PNG","Comércio e distribuição","Ação","Bovespa","DROG13"
"DROG14<XBSP>","RaiaDrogasil","PNH","Comércio e distribuição","Ação","Bovespa","DROG14"
"RASL3<XBSP>","Rail Sul","ON","-","Ação","Bovespa","RASL3"
"RASL4<XBSP>","Rail Sul","PN","-","Ação","Bovespa","RASL4"
"RAIZ4<XBSP>","Raizen","PN","Agropecuária","Ação","Bovespa","RAIZ4"
"RAPT3<XBSP>","Randon Part","ON","Material de transporte","Ação","Bovespa","RAPT3"
"RAPT4<XBSP>","Randon Part","PN","Material de transporte","Ação","Bovespa","RAPT4"
"RSIP3<XBSP>","Rasip Agro","ON","-","Ação","Bovespa","RSIP3"
"RSIP4<XBSP>","Rasip Agro","PN","-","Ação","Bovespa","RSIP4"
"CCTY3<XBSP>","Rdvc City","ON","-","Ação","Bovespa","CCTY3"
"REAL3<XBSP>","Real","ON","-","Ação","Bovespa","REAL3"
"REAL4<XBSP>","Real","PN","-","Ação","Bovespa","REAL4"
"RCPR3<XBSP>","Real Cons Part","ON","-","Ação","Bovespa","RCPR3"
"RCPR11<XBSP>","Real Cons Part","PNE","-","Ação","Bovespa","RCPR11"
"RCPR12<XBSP>","Real Cons Part","PNF","-","Ação","Bovespa","RCPR12"
"RHPR3<XBSP>","Real Holdings","ON","-","Ação","Bovespa","RHPR3"
"RHPR4<XBSP>","Real Holdings","PN","-","Ação","Bovespa","RHPR4"
"RPPR3<XBSP>","Realpar Part","ON","-","Ação","Bovespa","RPPR3"
"RPPR6<XBSP>","Realpar Part","PNB","-","Ação","Bovespa","RPPR6"
"RCSL3<XBSP>","Recrusul","ON","Material de transporte","Ação","Bovespa","RCSL3"
"RCSL4<XBSP>","Recrusul","PN","Material de transporte","Ação","Bovespa","RCSL4"
"RDOR3<XBSP>","Rede D Or","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa","RDOR3"
"REDE3<XBSP>","Rede Energia","ON","Energia elétrica","Ação","Bovespa","REDE3"
"REDE4<XBSP>","Rede Energia","PN","Energia elétrica","Ação","Bovespa","REDE4"
"RDCD3<XBSP>","Redecard","ON","-","Ação","Bovespa","RDCD3"
"RDTR3<XBSP>","Redentor","ON","-","Ação","Bovespa","RDTR3"
"RHER4<XBSP>","Ren Hermann","PN","-","Ação","Bovespa","RHER4"
"RNPT3<XBSP>","Renner Part","ON","-","Ação","Bovespa","RNPT3"
"RNPT4<XBSP>","Renner Part","PN","-","Ação","Bovespa","RNPT4"
"RNEW3<XBSP>","Renova","ON","Energia elétrica","Ação","Bovespa","RNEW3"
"RNEW4<XBSP>","Renova","PN","Energia elétrica","Ação","Bovespa","RNEW4"
"RNEW11<XBSP>","Renova","UNT N2","Energia elétrica","Ação","Bovespa","RNEW11"
"OPRE3B<XBSP>","Ret Part","ON","Outros","Ação","Bovespa","OPRE3B"
"RVEE3<XBSP>","Revee","ON","-","Ação","Bovespa","RVEE3"
"LATS3<XBSP>","Rexam Bcsa","ON","-","Ação","Bovespa","LATS3"
"RIAA3<XBSP>","Riachuelo","ON","Comércio","Ação","Bovespa","RIAA3"
"GUAR4<XBSP>","Riachuelo","PN","Comércio","Ação","Bovespa","GUAR4"
"REEM3<XBSP>","Rimet","ON","-","Ação","Bovespa","REEM3"
"REEM4<XBSP>","Rimet","PN","-","Ação","Bovespa","REEM4"
"RIOS3<XBSP>","Rio Alto","ON","Energia elétrica","Ação","Bovespa","RIOS3"
"RGEG3<XBSP>","Rio Gde Ener","ON","-","Ação","Bovespa","RGEG3"
"RSUL3<XBSP>","Riosulense","ON","Material de transporte","Ação","Bovespa","RSUL3"
"RSUL4<XBSP>","Riosulense","PN","Material de transporte","Ação","Bovespa","RSUL4"
"RPSA3<XBSP>","Ripasa","ON","-","Ação","Bovespa","RPSA3"
"RPSA4<XBSP>","Ripasa","PN","-","Ação","Bovespa","RPSA4"
"RJCP3<XBSP>","Rjcp","ON","Holdings diversificadas","Ação","Bovespa","RJCP3"
"RDNI3<XBSP>","Rni","ON","Construção civil","Ação","Bovespa","RDNI3"
"RBNS11<XBSP>","Rodobens","UNT","Comércio","Ação","Bovespa","RBNS11"
"ROMI3<XBSP>","Romi","ON","Máquinas e equipamentos","Ação","Bovespa","ROMI3"
"ROMI4<XBSP>","Romi","PN","Máquinas e equipamentos","Ação","Bovespa","ROMI4"
"RSID3<XBSP>","Rossi Resid","ON","Construção civil","Ação","Bovespa","RSID3"
"RUMO3<XBSP>","Rumo Log","ON","Transporte","Ação","Bovespa","RUMO3"
"RAIL3<XBSP>","Rumo S.A.","ON","Transporte","Ação","Bovespa","RAIL3"
"ALLL3<XBSP>","Rumo S.A.","ON-old","Transporte","Ação","Bovespa","ALLL3"
"ALLL4<XBSP>","Rumo S.A.","PN","Transporte","Ação","Bovespa","ALLL4"
"ALLL11<XBSP>","Rumo S.A.","UNT N2","Transporte","Ação","Bovespa","ALLL11"
"BARB3<XBSP>","S Gobain Canal","ON","-","Ação","Bovespa","BARB3"
"BARB4<XBSP>","S Gobain Canal","PN","-","Ação","Bovespa","BARB4"
"VSMA3<XBSP>","S Gobain Vidro","ON","-","Ação","Bovespa","VSMA3"
"SBSP3<XBSP>","Sabesp","ON","Água e saneamento","Ação","Bovespa","SBSP3"
"SDIA3<XBSP>","Sadia S/A","ON","-","Ação","Bovespa","SDIA3"
"SDIA4<XBSP>","Sadia S/A","PN","-","Ação","Bovespa","SDIA4"
"SAEN3<XBSP>","Safira Energ","ON","Energia elétrica","Ação","Bovespa","SAEN3"
"FCAP3<XBSP>","Sam Industr","ON","-","Ação","Bovespa","FCAP3"
"FCAP4<XBSP>","Sam Industr","PN","-","Ação","Bovespa","FCAP4"
