data,retorno_carteira_tercil_1,retorno_carteira_tercil_2,retorno_carteira_tercil_3,factor_value
2010-01-04,0.016721000064304343,0.01038063584159649,0.014791811303212436,0.0019291887610919066
2010-01-05,4.18100477717817e-05,0.002929158917199093,-0.00021709191907292406,0.00025890196684470577
2010-01-06,0.014132980963369231,0.005634810756552185,0.008184548183230366,0.005948432780138865
2010-01-07,0.0056885226842924115,-0.006451927521532712,-0.0002422756871845455,0.005930798371476957
2010-01-08,0.003442148559746009,-0.005008542322393594,0.003770094418937934,-0.00032794585919192513
2010-01-11,0.01129172264895294,0.0013906375590824749,0.0011616530137016357,0.010130069635251305
2010-01-12,-0.005311475633870333,0.0004960409415080691,-0.0003845426293152247,-0.0049269330045551086
2010-01-13,-0.0031129474368711903,0.0021890178396256916,-6.821357919199282e-05,-0.0030447338576791976
2010-01-14,-0.006237598737124695,-0.003254979746986845,-0.0024829291459578942,-0.003754669591166801
2010-01-15,-0.006123812740263402,-0.01142082234082243,-0.014652604482163718,0.008528791741900316
2010-01-18,0.0026963355276871962,0.0010197747422415156,0.0020357571083270223,0.000660578419360174
2010-01-19,0.01192164702600794,0.004930029507389644,0.006847421017123656,0.005074226008884283
2010-01-20,-0.018006004348283467,-0.01898188420536381,-0.01802427711482697,1.8272766543502017e-05
2010-01-21,-0.025924134657020433,-0.022509497879259013,-0.017171703684110896,-0.008752430972909536
2010-01-22,0.0030746846584064633,0.006835559383680727,-0.0022658411320912214,0.005340525790497685
2010-01-26,-0.013142641188992128,-0.0038203486055433224,-0.010615558563588841,-0.0025270826254032864
2010-01-27,-0.014347245602779416,-0.002208828628298054,-0.00533797100249842,-0.009009274600280996
2010-01-28,0.004512482555503971,0.0017363621057166231,-0.0013235771969578,0.005836059752461771
2010-01-29,0.005877001833016151,-0.0007850581571204219,0.0018528920318128435,0.004024109801203307
2010-02-01,0.015361728760986024,0.007750397625009646,0.014078205976914246,0.0012835227840717785
2010-02-02,0.010599644844855781,0.009964554605858463,0.00797546050900489,0.0026241843358508904
2010-02-03,-0.00010647551843816708,0.000966773086708835,0.006994121090583624,-0.007100596609021791
2010-02-04,-0.04428142080689922,-0.03702357245167162,-0.03875332334663904,-0.00552809746026018
2010-02-05,-0.026744688316331797,-0.017697671203960486,-0.01634590065449614,-0.010398787661835655
2010-02-08,0.016575341375499916,0.009342702859343325,0.0008134724205001794,0.015761868954999737
2010-02-09,0.024587941579211587,0.025454061369197707,0.012009910911091094,0.012578030668120493
2010-02-10,0.007219979084169015,0.001063759409411465,0.0077664044289151935,-0.0005464253447461783
2010-02-11,0.014325769170427653,0.009414458994781915,0.009227165581953627,0.005098603588474027
2010-02-12,-0.0073511128758625465,-0.002764656714113034,-0.0030504457402261115,-0.0043006671356364354
2010-02-17,0.0188760451711178,0.015075926167504044,0.013642300943239467,0.0052337442278783345
2010-02-18,0.0043733080334752705,0.0026437254182479406,0.007455785201362653,-0.003082477167887382
2010-02-19,-0.004552395230405412,-0.004042150451129259,-0.0032891262743007985,-0.0012632689561046131
2010-02-22,0.0012317122910094347,-0.010554958489436645,-0.0020022077757615147,0.0032339200667709494
2010-02-23,-0.012826714500787453,-0.01740037038719242,-0.009869564038557347,-0.0029571504622301053
2010-02-24,-0.010018951268144779,0.0031849750893592913,-0.0066762125025335555,-0.0033427387656112233
2010-02-25,-0.0005961051782282512,0.005091609120415108,-0.002014763416772425,0.0014186582385441737
2010-02-26,0.006487503685919422,0.0042866259603528785,0.0023346117176447265,0.004152891968274695
2010-03-01,0.007772356749277537,0.006373917347976081,0.013170111034953642,-0.0053977542856761054
2010-03-02,0.010514938239471737,0.0031728535281767,0.006204988223814685,0.004309950015657052
2010-03-03,-0.006097226680332587,0.001715806033176981,-0.006159126643053003,6.189996272041622e-05
