ticker,Mkt-Rf_capm,Mkt-Rf_3 fatores,SMB_3 fatores,HML_3 fatores,Mkt-Rf_5 fatores,SMB_5 fatores,HML_5 fatores,WML_5 fatores,IML_5 fatores,Mkt-Rf_completo,SMB_completo,HML_completo,WML_completo,IML_completo,BAB_completo,ret_esp_capm,ret_esp_3 fatores,ret_esp_5 fatores,ret_esp_completo,ult_atualizacao
ABEV3,0.7759730697317679,0.6689992632116739,0.05886672184054903,0.30217647816401483,0.6736655665085549,-0.25125161803140017,0.293551795503614,-0.044966376976104505,0.43041510184534304,0.6598391848271055,-0.2735423743606355,0.39629424153130366,-0.029834961983333068,0.4744447292670114,0.3080262739845185,0.11329697463052524,0.12822842870490758,0.1409588814276801,0.18987196166581,2026-06-03
AGRO3,0.3838283784980562,0.22728236100562818,0.37717122841975464,-0.23096108995664816,0.11699297752069086,0.2198086219292925,-0.275223486747542,-0.45859225021600913,0.0572868483771751,0.13785267690141018,0.25343842376100056,-0.43022980634399627,-0.48142083800030266,-0.009140132522195532,-0.46471561574932135,0.12132094731936038,0.15821906937835117,0.08509984339289312,0.017955045231188294,2026-06-03
ALOS3,1.5594658735703728,1.5136458106554305,0.13824192859995443,-0.13201168424177215,1.6327810087137773,-0.21318703879428966,-0.10147790574755772,0.38942226344344655,0.6505700647884121,1.6506692052301655,-0.18434786460519345,-0.23440328763422968,0.3698456503281839,0.5936057305172985,-0.3985160143986246,0.09742274215954905,0.10927277204986763,0.2066776805367745,0.1429335461966672,2026-06-03
ALPA4,1.1688640427116297,1.0021834837529753,0.1458450836122267,0.3456447051341643,1.0720491515356048,-0.7016156147313197,0.3422971132383823,0.09804614456783567,1.2578779390300059,1.1064787762027988,-0.6461085130437472,0.0864540491872422,0.06036680438416325,1.1482380071020293,-0.7670285144196026,0.10531054663167594,0.1312159748153512,0.20888859962973694,0.08875944466734009,2026-06-03
ALUP11,0.956799581309407,0.8404329830874577,0.22036579598918593,-0.032897017081066945,0.8349452294757922,0.26889879778475595,-0.03323164417047872,-0.011365508558374975,-0.07416320197612064,0.841543634154387,0.27953668080006155,-0.08226372300198334,-0.01858671811141449,-0.095175590196654,-0.1470002820850993,0.10961470559319508,0.1336548876922865,0.12828415860934772,0.105828453500312,2026-06-03
AMBP3,2.2146030474099194,1.8388102455746596,4.693709665403587,-9.317105499869948,2.9717538531373533,8.126503407549194,-8.802232943895104,5.0799442226457625,-3.070234368326794,3.001708627283401,8.174796199312835,-9.024823845613156,5.047162101548471,-3.165624295752293,-0.6673371009737243,0.08430868020077287,0.38429021183348344,1.510914314890786,1.3048981952864667,2026-06-03
AMER3,-0.8424303894042697,-3.1540199249392162,6.847508621963431,-6.3668311593217695,-3.742054726022553,7.194716052830876,-6.56351755024237,-2.204054674097744,-1.3154026146048707,-3.85855217065915,7.0069000203213125,-5.697836803558102,-2.076561363048863,-0.9444205890032342,2.5953481269992724,0.14675569603015037,0.9345096514467861,0.33871400702272525,0.8895315806269384,2026-06-03
ANIM3,3.2601951854018716,1.7000755195957336,2.5537316779378445,0.48580367551452014,1.482075828481967,2.535791145198244,0.4080269187574636,-0.846901313373249,-0.2872604297479635,1.5545352505581507,2.65260951159879,-0.13041172942826545,-0.9261999766701052,-0.5180049174026086,-1.614262235154613,0.06367606688710681,0.3902513008184909,0.21460626207726952,-0.026475605820861947,2026-06-03
ARML3,1.5412391921915747,1.0420026240417712,0.9183219045747213,-0.07846746300737052,1.2440608958657573,0.6024275570976465,-0.01739742532768923,0.71740192456834,0.7206091830987592,1.2747994237872746,0.6519839089765473,-0.24581232220444327,0.6837620733792636,0.6227234192701288,-0.684797689053876,0.09778966057053662,0.20186123904687014,0.37433137157863317,0.2530317425062987,2026-06-03
AUAU3,2.1883096589543634,1.8482955622552568,0.04976064259553675,1.2781555702203375,1.912002388807701,0.599859152611347,1.3189401066553132,0.35820818600050097,-0.6605363739037768,1.931263270608564,0.6309113564923696,1.1758144390393355,0.33712932369435045,-0.7218719763081667,-0.4290969099121317,0.08483222285554026,0.12492398410201244,0.15380823890190976,0.08806547772300943,2026-06-03
AURA33,0.6600337336881079,0.4881747916406157,0.5414413099431039,-0.5481855820799924,0.8306661983435666,-1.569448987981509,-0.49687855235943496,0.895873634343882,3.3741092760438995,0.8269429193382225,-1.575451621712158,-0.46921124206335146,0.8999483431911981,3.385965927420174,0.08294778673440178,0.11566380042132152,0.16258253342914508,0.5201921892927799,0.5370849084040721,2026-06-03
AURE3,0.972345824774721,1.1492600370221222,-0.15122121784779702,-0.3751430836973533,1.1320977713699603,-0.08868836149479561,-0.37914711171784354,-0.05367950315402001,-0.10998881964793172,1.1374154660995979,-0.08011522644163682,-0.4186623642502134,-0.05949912014513517,-0.12692283196456022,-0.11846842735107643,0.10929865070261302,0.08248199390528965,0.06901584045856546,0.05176183918123445,2026-06-03
AXIA3,1.7816985941659391,2.2035464818939823,-0.6079307171403019,-0.3223839285559488,2.3061827020073267,-0.7184487069817702,-0.28970820600853636,0.3745550626985445,0.29779637490213057,2.3230011073769914,-0.6913342395398334,-0.4146840779159889,0.35614921530996424,0.2442387530084457,-0.3746830414300641,0.09295804303021926,0.019502182600179108,0.09113440886306545,0.03641460031068822,2026-06-03
AZEV4,-0.29011406493205094,0.5355892022995405,-1.797721275369497,0.7748528707664739,0.34426147178859434,-0.4800768092347159,0.7507781885275197,-0.4723379832327853,-2.074040758833478,0.3722403014195543,-0.43496961575128623,0.5428703309617476,-0.5029576559651034,-2.1631383602687313,-0.6233167028243489,0.13523494619830512,-0.03592690492164574,-0.17739010868002503,-0.24650813022369844,2026-06-03
AZTE3,-0.6184409490416158,-1.3526990189184338,2.5700386970137683,-3.229975969353189,-0.5964325035399507,1.139959214285453,-2.5204637158465872,1.6663934311468653,1.7876401414307794,0.7190084786125392,-4.290387361805744,-0.8993752508683786,4.12922829996389,6.51027926439646,-3.7490300434850923,0.14207065006831465,0.3674802007566751,0.7783116204791749,0.6082232445385234,2026-06-03
AZZA3,1.720301669784714,1.0525747431451518,1.2290200343776696,-0.10672668529239324,1.101522781688939,1.458823744672415,-0.08178146590379815,0.23603475121292722,-0.24399725498117775,1.0920316499085883,1.443522235522822,-0.011253824099092369,0.2464217242495717,-0.21377307878477658,0.21144490478807124,0.09418985177995687,0.23499621695681316,0.2655519246321667,0.3022472397376139,2026-06-03
B3SA3,2.0278730779514156,1.9691334840141885,0.1322277101279086,-0.06516063302232002,2.011856456113065,0.30435420800243607,-0.04433070388545038,0.2002351877430804,-0.17409071638053536,2.0329314380109658,0.3383310861873772,-0.20093676612692268,0.17717099752980775,-0.2412032569035463,-0.46951171303267825,0.08803179097946368,0.10091978434978843,0.12574694405085451,0.05559808763835483,2026-06-03
BBSE3,0.5749506948440868,0.8198988252642119,-0.39316182648704573,-0.09429152675958095,0.7421422439274848,-0.39597503854021654,-0.12191427255103239,-0.3013458654786618,-0.10736030838386589,0.7387140113834454,-0.40150200127274954,-0.09643942271385775,-0.297594051698981,-0.0964432221131008,0.0763746959415901,0.11740364854973984,0.07137511280009834,0.019986802928243508,0.03077319782253607,2026-06-03
BEEF3,2.0442489749332937,2.148420247183863,-0.3927198278866261,0.48153939994027617,1.6616370655181156,-0.4482438836720375,0.30735507661800754,-1.8942335190059834,-0.6203098281189909,1.6956420156328305,-0.39342143811407493,0.05466772628088293,-1.931448100799613,-0.7285973988325957,-0.7575675489211919,0.08770481240951744,0.05770216531093619,-0.22452376093187065,-0.30340935528066626,2026-06-03
BHIA3,7.494100080051427,5.822323568760647,1.3728336338410578,3.6748563601529876,3.9545443491232124,-0.5071471320675105,2.951274601734636,-7.606866436225289,-0.1024399666653597,4.2566559539105535,-0.02008577923477206,0.7063137750820541,-7.937493506379339,-1.0645037737418832,-6.730489154293947,-0.016245504964642943,0.2364479684223728,-0.6168601435069541,-0.866057683560798,2026-06-03
BLAU3,1.7938158439976588,1.6458192318837608,-0.15704443717943045,0.969695112081765,1.8541891700195592,-0.380945929431627,1.0360482604354901,0.7605094409368403,0.6039380610981293,1.8357458280338093,-0.41068010367713503,1.1730988722440396,0.7806935981422235,0.6626702366413901,0.4108836312044691,0.09271508444905496,0.10133166416562922,0.2624922542128749,0.33453089840242467,2026-06-03
BMOB3,1.41382167319907,0.9882902428107194,0.639755807619272,0.26386349077181437,1.0494631772306393,0.5042914978663695,0.28103256481988537,0.2090996857676238,0.2725836177645519,1.0813426823352192,0.5556873219188895,0.04413918171654729,0.17421116376560622,0.17106445212304677,-0.71021655557278,0.10035782484643496,0.18121482822290025,0.23172419786036347,0.11816340832384586,2026-06-03
BRAV3,-0.17130507610505977,-0.5115330663191299,0.8267408213977143,-0.5181926149442286,-1.0265126662459905,0.17867654798823318,-0.7219955479195244,-2.123706270093825,0.14900384277718914,-1.0520273615404503,0.13754200760544322,-0.5323984237694661,-2.0957833144131985,0.2302544948620816,0.5684203361713115,0.1327706211396642,0.2155178550521133,-0.10731382698341219,-0.03398838646031388,2026-06-03
BRFS3,1.2900878579957027,1.575875590694083,-1.359073294655623,0.47229284441031344,1.2269405399742739,-0.9819210073066337,0.42566538071255716,-1.0900615888078091,-1.0797425516990327,1.2798691143240961,-0.836809883604106,0.29052021994350674,-1.0604573949232887,-1.249379190786994,-0.40527289044335907,0.10285701185423268,-0.0215290297761076,-0.2119854674668198,-0.2524142869720163,2026-06-03
CAML3,1.3482616449996019,1.2206017944039198,0.33084403707451865,-0.24216735290499575,1.1035651945176002,0.01955727987893552,-0.293919359822856,-0.5159690388239858,0.2579571577401368,1.1008830178740148,0.015233101118966919,-0.2739883760420375,-0.5130336990645992,0.26649845516827286,0.05975394696362206,0.10168136497439795,0.13237539763881134,0.060618506916270576,0.06935591697907073,2026-06-03
CASH3,1.9101692303483477,1.0794668690061413,0.9805979736285539,1.1357109103509222,0.8448139396321432,1.5636566307663968,1.0719541712652312,-0.7891949464104773,-1.1322744491685162,0.8162277723460843,1.5175702934989095,1.2843750936144858,-0.7579106111285672,-1.041242802276594,0.6368470652330193,0.09038464370863375,0.23720997603645877,0.051058427249605964,0.1468461656539588,2026-06-03
CBAV3,-0.461740991088066,-1.4595522587140533,1.0966151534970572,1.5521054389889355,-1.579140828318173,0.36450168357629964,1.485504457638729,-0.6113528351524529,0.8293194229538593,-1.6258130010698744,0.2892572664805442,1.83232066020097,-0.560275407175197,0.9779453197764636,1.039769898060595,0.1388034938451177,0.3197684176050186,0.24905811652708887,0.4368405165728242,2026-06-03
CEAB3,2.1255968777969843,1.1623518441553076,0.8450019959950296,1.9924690887412502,1.4227347557270476,1.348222055726957,2.1013328262195325,1.1094552860971048,-0.3152042921695768,1.486876694557686,1.4516310575829308,1.6247005560964112,1.0392591699151343,-0.5194620462141795,-1.428964054323168,0.086081868386928,0.24126765429965857,0.43961859749738275,0.18709000071688564,2026-06-03
