data,retorno_carteira_tercil_1,retorno_carteira_tercil_2,retorno_carteira_tercil_3,factor_illiquidity
2010-03-01,0.002284944600665446,0.008745206983841526,0.014970602295702759,-0.012685657695037312
2010-03-02,0.004406276235636074,0.006940922507988369,0.008077785111686745,-0.0036715088760506717
2010-03-03,-0.007349980545667107,-0.0013247879561637656,0.00023009499699484432,-0.007580075542661951
2010-03-04,-0.00461574741782431,-0.0017522511166785505,-0.00042615517401708476,-0.004189592243807225
2010-03-05,-0.0031394134328737128,-0.0014582930759177407,0.008947394375365016,-0.01208680780823873
2010-03-08,-0.00011963048270420602,-0.009288960182153099,-0.0019555584275334236,0.0018359279448292177
2010-03-09,0.004950893356120176,0.014383697705876667,0.012984240792956249,-0.008033347436836072
2010-03-10,0.006357744947976272,0.009090937235071903,0.007905908742551872,-0.0015481637945755997
2010-03-11,-0.0022579920818469024,0.0019369825357337194,-0.0021747155896450344,-8.327649220186799e-05
2010-03-12,-0.00790936483120369,-0.011159447227608145,-0.007849958021767372,-5.9406809436318014e-05
2010-03-15,-0.004994283951652221,-0.010343711502979726,-0.005262036159913702,0.0002677522082614814
2010-03-16,0.0066440113079357065,0.0065042135984274795,0.012567811605668925,-0.005923800297733218
2010-03-17,-0.004506318878633891,0.00209141024151153,-0.002221734244821729,-0.002284584633812162
2010-03-18,-0.00044407780062365534,0.004849825296426047,0.001873384429488581,-0.0023174622301122363
2010-03-19,-0.0045233485933678765,-0.008371065588468361,-0.009319606652101084,0.004796258058733208
2010-03-22,-0.003961259400446963,0.0008166067567783824,-0.0001771264742426952,-0.0037841329262042677
2010-03-23,0.00023773101920258836,-0.0034343611803592574,0.0020277390170550464,-0.001790007997852458
2010-03-24,-0.009830262237477249,-0.012694281703128309,-0.008490529112769797,-0.001339733124707452
2010-03-25,0.0026830330949717254,-0.0063752521335897995,-0.003151382188564276,0.005834415283536001
2010-03-26,-0.0034693730817046183,0.0007640557948977013,0.005413515473748205,-0.008882888555452825
2010-03-29,0.004074964922067221,0.004756568832714909,0.013424449486100956,-0.009349484564033735
2010-03-30,-0.0005990752219909033,-0.009053518355088386,0.0006763927506496257,-0.001275467972640529
2010-03-31,-0.0012286741318961849,0.004337754297004995,0.0037804761730200484,-0.005009150304916233
2010-04-01,0.0023396718701343884,0.008911038711040823,0.005894888640480354,-0.0035552167703459653
2010-04-05,0.001668893875563727,0.0019598938730231628,0.002658959941760361,-0.0009900660661966338
2010-04-06,9.084102756127009e-05,-0.005340366866458689,-0.0008850866106874203,0.0009759276382486904
2010-04-07,-0.002226073616206595,0.0006075529903165745,-0.0010032976611477884,-0.0012227759550588067
2010-04-08,0.008454480774234443,0.010122794263271838,0.006102345850263801,0.002352134923970642
2010-04-09,0.000377487430578712,-0.006394803092245617,-0.007223740985655348,0.00760122841623406
2010-04-12,-0.0015363220113652168,-0.005070294887533863,-0.009017016455499386,0.007480694444134169
2010-04-13,-0.002110027280740986,0.003089006718694313,0.00262389996317338,-0.004733927243914366
2010-04-14,0.015773071157044957,0.007952215322020182,0.0016728680528465853,0.01410020310419837
2010-04-15,-0.0005912013839695908,0.0007793858514581085,-0.009400130376283997,0.008808928992314407
2010-04-16,-0.009250832774284143,-0.012547915097273932,-0.01221100855490245,0.0029601757806183068
2010-04-19,-0.007290374338325426,-0.004473641752636352,-0.0054939814338477045,-0.0017963929044777218
2010-04-20,0.003371580566072472,0.005620038674436665,0.004646187921397441,-0.0012746073553249692
2010-04-22,0.0031678180563053113,0.0011390157775410072,0.008558919978826464,-0.005391101922521153
2010-04-23,0.004703279737824518,0.0024854075532736194,0.0030922003909194095,0.0016110793469051084
2010-04-26,-0.0015820307120949753,-0.008665347052185945,-0.007780021848782204,0.006197991136687229
2010-04-27,-0.01791795439745222,-0.021156499457857622,-0.026482716798513443,0.008564762401061222
2010-04-28,-0.00862385202544733,-7.494650837293183e-05,0.000545345577405039,-0.00916919760285237
2010-04-29,0.011508620612467527,0.01072636736991574,0.012538074668956454,-0.0010294540564889272
2010-04-30,0.0027301450824371073,0.014496455850158175,0.004396085526100844,-0.0016659404436637371
2010-05-03,0.003842788926052637,0.007859492499127261,0.0016451883229787467,0.0021976006030738904
2010-05-04,-0.018656046685299892,-0.021700985464769187,-0.02393053240831255,0.005274485723012659
2010-05-05,-0.00947079309696211,-0.002391786770864149,-0.0007416858740259111,-0.008729107222936199
