"Ativo","Nome","Classe","Subsetor Bovespa","Tipo de Ativo","Bolsa / Fonte"
"LAVV3<XBSP>","Lavvi","ON","Construção civil","Ação","Bovespa"
"LLBI3<XBSP>","Le Biscuit","ON","Comércio","Ação","Bovespa"
"LLBI4<XBSP>","Le Biscuit","PN","Comércio","Ação","Bovespa"
"LECO3<XBSP>","Leco","ON","-","Ação","Bovespa"
"LECO4<XBSP>","Leco","PN","-","Ação","Bovespa"
"PITI3<XBSP>","LF Tel","ON","-","Ação","Bovespa"
"PITI4<XBSP>","LF Tel","PN","-","Ação","Bovespa"
"MLPP3<XBSP>","Lfparticip","ON","-","Ação","Bovespa"
"LIAS4<XBSP>","Liasa","PN","-","Ação","Bovespa"
"LMED3<XBSP>","Lifemed","ON","Equipamentos","Ação","Bovespa"
"LIGT3<XBSP>","Light S/A","ON","Energia elétrica","Ação","Bovespa"
"ILLS4<XBSP>","Linhas Circulo","PN","-","Ação","Bovespa"
"LINX3<XBSP>","Linx","ON","Programas e serviços","Ação","Bovespa"
"LTEL3B<XBSP>","Litel","ON","Mineração","Ação","Bovespa"
"LTEL5B<XBSP>","Litel","PNA","Mineração","Ação","Bovespa"
"LTEL11B<XBSP>","Litel","PRB","Mineração","Ação","Bovespa"
"LTLA3B<XBSP>","Litela","ON","Mineração","Ação","Bovespa"
"LGLO3<XBSP>","Livr Globo","ON","-","Ação","Bovespa"
"LGLO4<XBSP>","Livr Globo","PN","-","Ação","Bovespa"
"LIXC3<XBSP>","Lix da Cunha","ON","Construção e engenharia","Ação","Bovespa"
"LIXC4<XBSP>","Lix da Cunha","PN","Construção e engenharia","Ação","Bovespa"
"RENT3<XBSP>","Localiza","ON","Diversos","Ação","Bovespa"
"RENT4<XBSP>","Localiza","PN Resg","Diversos","Ação","Bovespa"
"LCAM3<XBSP>","Locamerica","ON","Diversos","Ação","Bovespa"
"LOGG3<XBSP>","Log Com Prop","ON","Exploração de imóveis","Ação","Bovespa"
"LOGN3<XBSP>","Log-In","ON","Transporte","Ação","Bovespa"
"LAME3<XBSP>","Lojas Americ","ON","Comércio","Ação","Bovespa"
"LAME4<XBSP>","Lojas Americ","PN","Comércio","Ação","Bovespa"
"LAME99<XBSP>","Lojas Americ","UNT","Comércio","Ação","Bovespa"
"LAME98<XBSP>","Lojas Americ","UNT","Comércio","Ação","Bovespa"
"LOAR4<XBSP>","Lojas Arapua","PN","-","Ação","Bovespa"
"LHER3<XBSP>","Lojas Hering","ON","Exploração de imóveis","Ação","Bovespa"
"LHER4<XBSP>","Lojas Hering","PN","Exploração de imóveis","Ação","Bovespa"
"AMAR3<XBSP>","Lojas Marisa","ON","Comércio","Ação","Bovespa"
"LREN3<XBSP>","Lojas Renner","ON","Comércio","Ação","Bovespa"
"LREN4<XBSP>","Lojas Renner","PN","Comércio","Ação","Bovespa"
"SPRT3B<XBSP>","Longdis","ON","Outros","Ação","Bovespa"
"LPSB3<XBSP>","Lopes Brasil","ON","Exploração de imóveis","Ação","Bovespa"
"LORZ4<XBSP>","Lorenz","PN","-","Ação","Bovespa"
"LUPA3<XBSP>","Lupatech","ON","Petróleo gás e biocombustíveis","Ação","Bovespa"
"LWSA3<XBSP>","Lwsa","ON","Programas e serviços","Ação","Bovespa"
"RHDS3<XBSP>","M G Poliest","ON","-","Ação","Bovespa"
"RHDS4<XBSP>","M G Poliest","PN","-","Ação","Bovespa"
"MDIA3<XBSP>","M.Diasbranco","ON","Alimentos processados","Ação","Bovespa"
"MADE4<XBSP>","Madeirit","PN","-","Ação","Bovespa"
"MSRO3<XBSP>","Maestroloc","ON","Diversos","Ação","Bovespa"
"MGLU3<XBSP>","Magaz Luiza","ON","Comércio","Ação","Bovespa"
"MAGS3<XBSP>","Magnesita","ON","-","Ação","Bovespa"
"MAGS5<XBSP>","Magnesita","PNA","-","Ação","Bovespa"
"MAGS7<XBSP>","Magnesita","PNC","-","Ação","Bovespa"
"MAGG3<XBSP>","Magnesita SA","ON","Materiais diversos","Ação","Bovespa"
"MLCF4<XBSP>","Mahle-Cofap","PN","-","Ação","Bovespa"
"GALO4<XBSP>","Maio Gallo","PN","-","Ação","Bovespa"
"MAKR3<XBSP>","Makro","ON","-","Ação","Bovespa"
"MNSA3<XBSP>","Manasa","ON","-","Ação","Bovespa"
"MNSA4<XBSP>","Manasa","PN","-","Ação","Bovespa"
"MGEL3<XBSP>","Mangels Indl","ON","Siderurgia e metalurgia","Ação","Bovespa"
"MGEL4<XBSP>","Mangels Indl","PN","Siderurgia e metalurgia","Ação","Bovespa"
"MANM3<XBSP>","Mannesmann","ON","-","Ação","Bovespa"
"MANM4<XBSP>","Mannesmann","PN","-","Ação","Bovespa"
"MAOR3B<XBSP>","Maori","ON","Outros","Ação","Bovespa"
"MAOR4B<XBSP>","Maori","PN","Outros","Ação","Bovespa"
"CTPC3<XBSP>","Marambaia","ON","-","Ação","Bovespa"
"CTPC4<XBSP>","Marambaia","PN","-","Ação","Bovespa"
"POMO3<XBSP>","Marcopolo","ON","Material de transporte","Ação","Bovespa"
"POMO4<XBSP>","Marcopolo","PN","Material de transporte","Ação","Bovespa"
"MBRF3<XBSP>","Marfrig","ON","Alimentos processados","Ação","Bovespa"
"MRSL3<XBSP>","Marisol","ON","-","Ação","Bovespa"
"MRSL4<XBSP>","Marisol","PN","-","Ação","Bovespa"
"MATD3<XBSP>","Mater Dei","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa"
"MCWS3<XBSP>","Mcom Wireles","ON","-","Ação","Bovespa"
"MCWS4<XBSP>","Mcom Wireles","PN","-","Ação","Bovespa"
"MEC4<XBSP>","Mec Pesada","PN","-","Ação","Bovespa"
"MEDI3<XBSP>","Medial Saude","ON","-","Ação","Bovespa"
"MSPA3<XBSP>","Melhor SP","ON","Madeira e papel","Ação","Bovespa"
"MSPA4<XBSP>","Melhor SP","PN","Madeira e papel","Ação","Bovespa"
"CASH3<XBSP>","Meliuz","ON","Programas e serviços","Ação","Bovespa"
"MELK3<XBSP>","Melnick","ON","Construção civil","Ação","Bovespa"
"MLPA3<XBSP>","Melpaper","ON","-","Ação","Bovespa"
"MLPA4<XBSP>","Melpaper","PN","-","Ação","Bovespa"
"MEND3<XBSP>","Mendes Jr","ON","Construção e engenharia","Ação","Bovespa"
"MEND5<XBSP>","Mendes Jr","PNA","Construção e engenharia","Ação","Bovespa"
"MEND6<XBSP>","Mendes Jr","PNB","Construção e engenharia","Ação","Bovespa"
"MNZC3<XBSP>","Menezes Cort","ON","Exploração de imóveis","Ação","Bovespa"
"BMCT4<XBSP>","Merc S Paulo","PN","-","Ação","Bovespa"
"MESB4<XBSP>","Mesbla","PN","-","Ação","Bovespa"
"DUQE3<XBSP>","Met Duque","ON","-","Ação","Bovespa"
"DUQE4<XBSP>","Met Duque","PN","-","Ação","Bovespa"
"MTIG3<XBSP>","Metal Iguacu","ON","Embalagens","Ação","Bovespa"
"MTIG4<XBSP>","Metal Iguacu","PN","Embalagens","Ação","Bovespa"
"LEVE3<XBSP>","Metal Leve","ON","Automóveis e motocicletas","Ação","Bovespa"
"LEVE4<XBSP>","Metal Leve","PN","Automóveis e motocicletas","Ação","Bovespa"
"FRIO3<XBSP>","Metalfrio","ON","Máquinas e equipamentos","Ação","Bovespa"
"MTSA3<XBSP>","Metisa","ON","Máquinas e equipamentos","Ação","Bovespa"
"MTSA4<XBSP>","Metisa","PN","Máquinas e equipamentos","Ação","Bovespa"
"MTDO3<XBSP>","Metodo Engenharia","ON","-","Ação","Bovespa"
"MTDO4<XBSP>","Metodo Engenharia","PN","-","Ação","Bovespa"
"MTDO5<XBSP>","Metodo Engenharia","PNA","-","Ação","Bovespa"
"MTDO6<XBSP>","Metodo Engenharia","PNB","-","Ação","Bovespa"
"MTDO7<XBSP>","Metodo Engenharia","PNC","-","Ação","Bovespa"
"MTDO8<XBSP>","Metodo Engenharia","PND","-","Ação","Bovespa"
"LETO3<XBSP>","Micheletto","ON","-","Ação","Bovespa"
"LETO5<XBSP>","Micheletto","PNA","-","Ação","Bovespa"
"MILS3<XBSP>","Mills","ON","Máquinas e equipamentos","Ação","Bovespa"
"MMAQ3<XBSP>","Minasmaquina","ON","Comércio","Ação","Bovespa"
"MMAQ4<XBSP>","Minasmaquina","PN","Comércio","Ação","Bovespa"
"BEEF3<XBSP>","Minerva","ON","Alimentos processados","Ação","Bovespa"
"MNPR3<XBSP>","Minupar","ON","Alimentos processados","Ação","Bovespa"
"MNPR4<XBSP>","Minupar","PN","Alimentos processados","Ação","Bovespa"
"MTRE3<XBSP>","Mitre Realty","ON","Construção civil","Ação","Bovespa"
"MMXM3<XBSP>","MMX Miner","ON","Mineração","Ação","Bovespa"
"MOAR3<XBSP>","Mont Aranha","ON","Holdings diversificadas","Ação","Bovespa"
"VEMG4<XBSP>","Montreal","PN","-","Ação","Bovespa"
"MOSI3<XBSP>","Mosaico","ON","Programas e serviços","Ação","Bovespa"
"MOTV3<XBSP>","Motiva SA","ON","Transporte","Ação","Bovespa"
"MDNE3<XBSP>","Moura Dubeux","ON","Construção civil","Ação","Bovespa"
"MOVI3<XBSP>","Movida","ON","Diversos","Ação","Bovespa"
"MRSA3B<XBSP>","Mrs Logist","ON","Transporte","Ação","Bovespa"
"MRSA5B<XBSP>","Mrs Logist","PNA","Transporte","Ação","Bovespa"
"MRSA6B<XBSP>","Mrs Logist","PNB","Transporte","Ação","Bovespa"
"MRVE3<XBSP>","MRV","ON","Construção civil","Ação","Bovespa"
"MRVE99<XBSP>","MRV","UNT","Construção civil","Ação","Bovespa"
"MULL4<XBSP>","Muller","PN","-","Ação","Bovespa"
"MLAS3<XBSP>","Multilaser","ON","Computadores e equipamentos","Ação","Bovespa"
"MULT3<XBSP>","Multiplan","ON","Exploração de imóveis","Ação","Bovespa"
"MPLU3<XBSP>","Multiplus","ON","Diversos","Ação","Bovespa"
"MNDL3<XBSP>","Mundial","ON","Tecidos vestuário e calçados","Ação","Bovespa"
"MNDL4<XBSP>","Mundial","PN","Tecidos vestuário e calçados","Ação","Bovespa"
"BNAC3<XBSP>","Nacional","ON","-","Ação","Bovespa"
"BNAC4<XBSP>","Nacional","PN","-","Ação","Bovespa"
"NAFG3<XBSP>","Nadir Figuei","ON","Utilidades domésticas","Ação","Bovespa"
"NAFG4<XBSP>","Nadir Figuei","PN","Utilidades domésticas","Ação","Bovespa"
"NAKT4<XBSP>","Nakata","PN","-","Ação","Bovespa"
"NATU3<XBSP>","Natura","ON","Produtos de uso pessoal e de limpeza","Ação","Bovespa"
"NEOE3<XBSP>","Neoenergia","ON","Energia elétrica","Ação","Bovespa"
"NGRD3<XBSP>","Neogrid","ON","Programas e serviços","Ação","Bovespa"
"NETC3<XBSP>","Net","ON","-","Ação","Bovespa"
"NETC4<XBSP>","Net","PN","-","Ação","Bovespa"
"NEWT3B<XBSP>","Newtel Part","ON","Outros","Ação","Bovespa"
"NEXP3<XBSP>","Nexpe","ON","Exploração de imóveis","Ação","Bovespa"
"CARB5<XBSP>","Nitrocarbono","PNA","-","Ação","Bovespa"
"NORD3<XBSP>","Nordon Met","ON","Máquinas e equipamentos","Ação","Bovespa"
"NRTQ3<XBSP>","Nortcquimica","ON","Medicamentos e outros produtos","Ação","Bovespa"
"BNCA3<XBSP>","Nossa Caixa","ON","-","Ação","Bovespa"
"NUTR3<XBSP>","Nutriplant","ON","Químicos","Ação","Bovespa"
"OPCT3<XBSP>","Oceanpact","ON","Petróleo gás e biocombustíveis","Ação","Bovespa"
"ODBE4<XBSP>","Odebrecht","PN","-","Ação","Bovespa"
"ODER3<XBSP>","Oderich","ON","Alimentos processados","Ação","Bovespa"
"ODER4<XBSP>","Oderich","PN","Alimentos processados","Ação","Bovespa"
"OGXP3<XBSP>","OGX Petroleo","ON","Petróleo gás e biocombustíveis","Ação","Bovespa"
"OIBR3<XBSP>","Oi","ON","Telecomunicações","Ação","Bovespa"
"OIBR4<XBSP>","Oi","PN","Telecomunicações","Ação","Bovespa"
"OLMA4<XBSP>","Olma","PN","-","Ação","Bovespa"
"OLVB4<XBSP>","Olvebra","PN","-","Ação","Bovespa"
"ONCO3<XBSP>","Oncoclinicas","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa"
"OPHE3B<XBSP>","Opport Energ","ON","Outros","Ação","Bovespa"
"OBTC3<XBSP>","Oranjebtc","ON","-","Ação","Bovespa"
"ORIO4<XBSP>","Orion","PN","-","Ação","Bovespa"
"ORVR3<XBSP>","Orizon","ON","Água e saneamento","Ação","Bovespa"
"OSXB3<XBSP>","OSX Brasil","ON","Petróleo gás e biocombustíveis","Ação","Bovespa"
"OFSA3<XBSP>","Ourofino S/A","ON","Medicamentos e outros produtos","Ação","Bovespa"
"OXIT4<XBSP>","Oxiteno","PN","-","Ação","Bovespa"
"PCAR3<XBSP>","P.Acucar-Cbd","ON","Comércio e distribuição","Ação","Bovespa"
"PCAR4<XBSP>","P.Acucar-Cbd","PN","Comércio e distribuição","Ação","Bovespa"
"PCAR99<XBSP>","P.Acucar-Cbd","UNT","Comércio e distribuição","Ação","Bovespa"
"PACF3<XBSP>","Pacific Rdsl","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa"
"PDTC3<XBSP>","Padtec","ON","Programas e serviços","Ação","Bovespa"
"PGMN3<XBSP>","Pague Menos","ON","Comércio e distribuição","Ação","Bovespa"
"PATI3<XBSP>","Panatlantica","ON","Siderurgia e metalurgia","Ação","Bovespa"
"PATI4<XBSP>","Panatlantica","PN","Siderurgia e metalurgia","Ação","Bovespa"
"PNXS4<XBSP>","Panex","PN","-","Ação","Bovespa"
"PEAB3<XBSP>","Par Al Bahia","ON","Holdings diversificadas","Ação","Bovespa"
"PEAB4<XBSP>","Par Al Bahia","PN","Holdings diversificadas","Ação","Bovespa"
"PRBN4<XBSP>","Paraibuna","PN","-","Ação","Bovespa"
"PMAM3<XBSP>","Paranapanema","ON","Siderurgia e metalurgia","Ação","Bovespa"
"PMAM4<XBSP>","Paranapanema","PN","Siderurgia e metalurgia","Ação","Bovespa"
"PALF3<XBSP>","Paul F Luz","ON","-","Ação","Bovespa"
"PALF5<XBSP>","Paul F Luz","PNA","-","Ação","Bovespa"
"PALF6<XBSP>","Paul F Luz","PNB","-","Ação","Bovespa"
"PALF7<XBSP>","Paul F Luz","PNC","-","Ação","Bovespa"
"PDGR3<XBSP>","PDG Realt","ON","Construção civil","Ação","Bovespa"
"PXEC4<XBSP>","Peixe","PN","-","Ação","Bovespa"
"PRSC4<XBSP>","Persico","PN","-","Ação","Bovespa"
"RPMG3<XBSP>","Pet Manguinh","ON","Petróleo gás e biocombustíveis","Ação","Bovespa"
"RPMG4<XBSP>","Pet Manguinh","PN","Petróleo gás e biocombustíveis","Ação","Bovespa"
"PETR3<XBSP>","Petrobras","ON","Petróleo gás e biocombustíveis","Ação","Bovespa"
"PETR4<XBSP>","Petrobras","PN","Petróleo gás e biocombustíveis","Ação","Bovespa"
"BRDT4-old<XBSP>","Petrobras Distrib","PN","-","Ação","Bovespa"
"PEFX3<XBSP>","Petroflex","ON","-","Ação","Bovespa"
"PEFX5<XBSP>","Petroflex","PNA","-","Ação","Bovespa"
"PQUN3<XBSP>","Petroq Uniao","ON","-","Ação","Bovespa"
"PQUN4<XBSP>","Petroq Uniao","PN","-","Ação","Bovespa"
"PTQS3<XBSP>","Petroquisa","ON","-","Ação","Bovespa"
"PTQS4<XBSP>","Petroquisa","PN","-","Ação","Bovespa"
"RECV3<XBSP>","Petrorecsa","ON","Petróleo gás e biocombustíveis","Ação","Bovespa"
"PRIO3<XBSP>","Petrorio","ON","Petróleo gás e biocombustíveis","Ação","Bovespa"
"PTNT3<XBSP>","Pettenati","ON","Tecidos vestuário e calçados","Ação","Bovespa"
"PTNT4<XBSP>","Pettenati","PN","Tecidos vestuário e calçados","Ação","Bovespa"
"AUAU3<XBSP>","Petzcobasi","ON","Comércio","Ação","Bovespa"
"PVPR4<XBSP>","Peve Predios","PN","-","Ação","Bovespa"
"PVFS4<XBSP>","Peve-Finasa","PN","-","Ação","Bovespa"
"PIRE3<XBSP>","Pirelli","ON","-","Ação","Bovespa"
"PIRE4<XBSP>","Pirelli","PN","-","Ação","Bovespa"
"PIPN3<XBSP>","Pirelli Pneus","ON","-","Ação","Bovespa"
"PIPN4<XBSP>","Pirelli Pneus","PN","-","Ação","Bovespa"
"PLPL3<XBSP>","Planoeplano","ON","Construção civil","Ação","Bovespa"
"PLAS3<XBSP>","Plascar Part","ON","Automóveis e motocicletas","Ação","Bovespa"
"PLAS4<XBSP>","Plascar Part","PN","Automóveis e motocicletas","Ação","Bovespa"
"POLA3<XBSP>","Polar","ON","-","Ação","Bovespa"
"POLA4<XBSP>","Polar","PN","-","Ação","Bovespa"
"PLDN3<XBSP>","Polialden","ON","-","Ação","Bovespa"
"PLDN4<XBSP>","Polialden","PN","-","Ação","Bovespa"
"POPR3<XBSP>","Polipropileno","ON","-","Ação","Bovespa"
"POPR4<XBSP>","Polipropileno","PN","-","Ação","Bovespa"
"PORP3<XBSP>","Polipropileno Parti","ON","-","Ação","Bovespa"
"PORP4<XBSP>","Polipropileno Parti","PN","-","Ação","Bovespa"
"PLTO3<XBSP>","Politeno","ON","-","Ação","Bovespa"
"PLTO5<XBSP>","Politeno","PNA","-","Ação","Bovespa"
"PLTO6<XBSP>","Politeno","PNB","-","Ação","Bovespa"
"PPAR3<XBSP>","Polpar","ON","Outros","Ação","Bovespa"
"FRTA3<XBSP>","Pomifrutas","ON","Agropecuária","Ação","Bovespa"
"PSSA3<XBSP>","Porto Seguro","ON","Previdência e seguros","Ação","Bovespa"
"PTBL3<XBSP>","Portobello","ON","Construção e engenharia","Ação","Bovespa"
"PTBL4<XBSP>","Portobello","PN","Construção e engenharia","Ação","Bovespa"
"PRTX3<XBSP>","Portx","ON","-","Ação","Bovespa"
"POSI3<XBSP>","Positivo Tec","ON","Computadores e equipamentos","Ação","Bovespa"
"PPLA36<XBSP>","Ppla","A.","Serviços financeiros diversos","Ação","Bovespa"
"PPLA35<XBSP>","Ppla","B.","Serviços financeiros diversos","Ação","Bovespa"
"PPLA11<XBSP>","Ppla","UNT","Serviços financeiros diversos","Ação","Bovespa"
"PQTM3<XBSP>","Pq Hopi Hari","ON","Viagens e lazer","Ação","Bovespa"
"PQTM4<XBSP>","Pq Hopi Hari","PN","Viagens e lazer","Ação","Bovespa"
"PRCA3<XBSP>","Pratica","ON","Máquinas e equipamentos","Ação","Bovespa"
"PTCA3<XBSP>","Pratica","ON","Máquinas e equipamentos","Ação","Bovespa"
"PTCA11<XBSP>","Pratica","PN Resg","Máquinas e equipamentos","Ação","Bovespa"
"PRNR3<XBSP>","Priner","ON","Serviços diversos","Ação","Bovespa"
"PMET3<XBSP>","Pro Metalurg","ON","-","Ação","Bovespa"
"PMET5<XBSP>","Pro Metalurg","PNA","-","Ação","Bovespa"
"PMET6<XBSP>","Pro Metalurg","PNB","-","Ação","Bovespa"
"PFRM3<XBSP>","Profarma","ON","Comércio e distribuição","Ação","Bovespa"
"BPRG4<XBSP>","Progresso","PN","-","Ação","Bovespa"
"PRMN3B<XBSP>","Proman","ON","-","Ação","Bovespa"
"PMT4<XBSP>","Prometal","PN","-","Ação","Bovespa"
"PRPT3<XBSP>","Prompt Part","ON","Outros","Ação","Bovespa"
"PNOR3<XBSP>","Pronor","ON","-","Ação","Bovespa"
"PNOR5<XBSP>","Pronor","PNA","-","Ação","Bovespa"
"PNOR6<XBSP>","Pronor","PNB","-","Ação","Bovespa"
"PRVI3<XBSP>","Providencia","ON","-","Ação","Bovespa"
"PRML3<XBSP>","Prumo","ON","Transporte","Ação","Bovespa"
"QUAL3<XBSP>","Qualicorp","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa"
"QUSW3<XBSP>","Quality Soft","ON","Programas e serviços","Ação","Bovespa"
"SZPQ3<XBSP>","Quattor Petr","ON","-","Ação","Bovespa"
"SZPQ4<XBSP>","Quattor Petr","PN","-","Ação","Bovespa"
"LJQQ3<XBSP>","Quero-Quero","ON","Comércio","Ação","Bovespa"
"QGNE4<XBSP>","Quimica Geral","PN","-","Ação","Bovespa"
"RAIA3<XBSP>","Raia","ON","-","Ação","Bovespa"
"RADL3<XBSP>","RaiaDrogasil","ON","Comércio e distribuição","Ação","Bovespa"
"DROG5<XBSP>","RaiaDrogasil","PNA","Comércio e distribuição","Ação","Bovespa"
"DROG6<XBSP>","RaiaDrogasil","PNB","Comércio e distribuição","Ação","Bovespa"
"DROG7<XBSP>","RaiaDrogasil","PNC","Comércio e distribuição","Ação","Bovespa"
"DROG8<XBSP>","RaiaDrogasil","PND","Comércio e distribuição","Ação","Bovespa"
"DROG11<XBSP>","RaiaDrogasil","PNE","Comércio e distribuição","Ação","Bovespa"
"DROG12<XBSP>","RaiaDrogasil","PNF","Comércio e distribuição","Ação","Bovespa"
"DROG13<XBSP>","RaiaDrogasil","PNG","Comércio e distribuição","Ação","Bovespa"
"DROG14<XBSP>","RaiaDrogasil","PNH","Comércio e distribuição","Ação","Bovespa"
"RASL3<XBSP>","Rail Sul","ON","-","Ação","Bovespa"
"RASL4<XBSP>","Rail Sul","PN","-","Ação","Bovespa"
"RAIZ4<XBSP>","Raizen","PN","Agropecuária","Ação","Bovespa"
"RAPT3<XBSP>","Randon Part","ON","Material de transporte","Ação","Bovespa"
"RAPT4<XBSP>","Randon Part","PN","Material de transporte","Ação","Bovespa"
"RSIP3<XBSP>","Rasip Agro","ON","-","Ação","Bovespa"
"RSIP4<XBSP>","Rasip Agro","PN","-","Ação","Bovespa"
"CCTY3<XBSP>","Rdvc City","ON","-","Ação","Bovespa"
"REAL3<XBSP>","Real","ON","-","Ação","Bovespa"
"REAL4<XBSP>","Real","PN","-","Ação","Bovespa"
"RCPR3<XBSP>","Real Cons Part","ON","-","Ação","Bovespa"
"RCPR11<XBSP>","Real Cons Part","PNE","-","Ação","Bovespa"
"RCPR12<XBSP>","Real Cons Part","PNF","-","Ação","Bovespa"
"RHPR3<XBSP>","Real Holdings","ON","-","Ação","Bovespa"
"RHPR4<XBSP>","Real Holdings","PN","-","Ação","Bovespa"
"RPPR3<XBSP>","Realpar Part","ON","-","Ação","Bovespa"
"RPPR6<XBSP>","Realpar Part","PNB","-","Ação","Bovespa"
"RCSL3<XBSP>","Recrusul","ON","Material de transporte","Ação","Bovespa"
"RCSL4<XBSP>","Recrusul","PN","Material de transporte","Ação","Bovespa"
"RDOR3<XBSP>","Rede D Or","ON","Serviços médico-hospitalares análises e diagnósticos","Ação","Bovespa"
"REDE3<XBSP>","Rede Energia","ON","Energia elétrica","Ação","Bovespa"
"REDE4<XBSP>","Rede Energia","PN","Energia elétrica","Ação","Bovespa"
"RDCD3<XBSP>","Redecard","ON","-","Ação","Bovespa"
"RDTR3<XBSP>","Redentor","ON","-","Ação","Bovespa"
"RHER4<XBSP>","Ren Hermann","PN","-","Ação","Bovespa"
"RNPT3<XBSP>","Renner Part","ON","-","Ação","Bovespa"
"RNPT4<XBSP>","Renner Part","PN","-","Ação","Bovespa"
"RNEW3<XBSP>","Renova","ON","Energia elétrica","Ação","Bovespa"
"RNEW4<XBSP>","Renova","PN","Energia elétrica","Ação","Bovespa"
"RNEW11<XBSP>","Renova","UNT N2","Energia elétrica","Ação","Bovespa"
"OPRE3B<XBSP>","Ret Part","ON","Outros","Ação","Bovespa"
"RVEE3<XBSP>","Revee","ON","-","Ação","Bovespa"
"LATS3<XBSP>","Rexam Bcsa","ON","-","Ação","Bovespa"
"RIAA3<XBSP>","Riachuelo","ON","Comércio","Ação","Bovespa"
"GUAR4<XBSP>","Riachuelo","PN","Comércio","Ação","Bovespa"
"REEM3<XBSP>","Rimet","ON","-","Ação","Bovespa"
"REEM4<XBSP>","Rimet","PN","-","Ação","Bovespa"
"RIOS3<XBSP>","Rio Alto","ON","Energia elétrica","Ação","Bovespa"
"RGEG3<XBSP>","Rio Gde Ener","ON","-","Ação","Bovespa"
"RSUL3<XBSP>","Riosulense","ON","Material de transporte","Ação","Bovespa"
"RSUL4<XBSP>","Riosulense","PN","Material de transporte","Ação","Bovespa"
"RPSA3<XBSP>","Ripasa","ON","-","Ação","Bovespa"
"RPSA4<XBSP>","Ripasa","PN","-","Ação","Bovespa"
"RJCP3<XBSP>","Rjcp","ON","Holdings diversificadas","Ação","Bovespa"
"RDNI3<XBSP>","Rni","ON","Construção civil","Ação","Bovespa"
"RBNS11<XBSP>","Rodobens","UNT","Comércio","Ação","Bovespa"
"ROMI3<XBSP>","Romi","ON","Máquinas e equipamentos","Ação","Bovespa"
"ROMI4<XBSP>","Romi","PN","Máquinas e equipamentos","Ação","Bovespa"
"RSID3<XBSP>","Rossi Resid","ON","Construção civil","Ação","Bovespa"
"RUMO3<XBSP>","Rumo Log","ON","Transporte","Ação","Bovespa"
"RAIL3<XBSP>","Rumo S.A.","ON","Transporte","Ação","Bovespa"
"ALLL3<XBSP>","Rumo S.A.","ON-old","Transporte","Ação","Bovespa"
"ALLL4<XBSP>","Rumo S.A.","PN","Transporte","Ação","Bovespa"
"ALLL11<XBSP>","Rumo S.A.","UNT N2","Transporte","Ação","Bovespa"
"BARB3<XBSP>","S Gobain Canal","ON","-","Ação","Bovespa"
"BARB4<XBSP>","S Gobain Canal","PN","-","Ação","Bovespa"
"VSMA3<XBSP>","S Gobain Vidro","ON","-","Ação","Bovespa"
"SBSP3<XBSP>","Sabesp","ON","Água e saneamento","Ação","Bovespa"
"SDIA3<XBSP>","Sadia S/A","ON","-","Ação","Bovespa"
"SDIA4<XBSP>","Sadia S/A","PN","-","Ação","Bovespa"
"SAEN3<XBSP>","Safira Energ","ON","Energia elétrica","Ação","Bovespa"
"FCAP3<XBSP>","Sam Industr","ON","-","Ação","Bovespa"
"FCAP4<XBSP>","Sam Industr","PN","-","Ação","Bovespa"
"SAMI4<XBSP>","Samitri","PN","-","Ação","Bovespa"
"SAPR3<XBSP>","Sanepar","ON","Água e saneamento","Ação","Bovespa"
"SAPR4<XBSP>","Sanepar","PN","Água e saneamento","Ação","Bovespa"
"SAPR11<XBSP>","Sanepar","UNT N2","Água e saneamento","Ação","Bovespa"
"SNSY3<XBSP>","Sansuy","ON","Materiais diversos","Ação","Bovespa"
"SNSY5<XBSP>","Sansuy","PNA","Materiais diversos","Ação","Bovespa"
"SNSY6<XBSP>","Sansuy","PNB","Materiais diversos","Ação","Bovespa"
"BNET4<XBSP>","Santander Noroeste","PN","-","Ação","Bovespa"
"CTSA3<XBSP>","Santanense","ON","Tecidos vestuário e calçados","Ação","Bovespa"
"CTSA4<XBSP>","Santanense","PN","Tecidos vestuário e calçados","Ação","Bovespa"
"CTSA8<XBSP>","Santanense","PND","Tecidos vestuário e calçados","Ação","Bovespa"
"MFLU3<XBSP>","Santista Alimentos","ON","-","Ação","Bovespa"
"ASTA3<XBSP>","Santistextil","ON","-","Ação","Bovespa"
"ASTA4<XBSP>","Santistextil","PN","-","Ação","Bovespa"
"STBR3<XBSP>","Santos Bras","ON","-","Ação","Bovespa"
"STBR4<XBSP>","Santos Bras","PN","-","Ação","Bovespa"
"STBR11<XBSP>","Santos Bras","UNT N2","-","Ação","Bovespa"
"STBP3<XBSP>","Santos Brp","ON","Transporte","Ação","Bovespa"
"STBP4<XBSP>","Santos Brp","PN","Transporte","Ação","Bovespa"
"STBP11<XBSP>","Santos Brp","UNT N2","Transporte","Ação","Bovespa"
"SCAR3<XBSP>","Sao Carlos","ON","Exploração de imóveis","Ação","Bovespa"
"SCAR4<XBSP>","Sao Carlos","PN","Exploração de imóveis","Ação","Bovespa"
"SMTO3<XBSP>","Sao Martinho","ON","Alimentos processados","Ação","Bovespa"
