"","Date","Rm_minus_Rf","SMB","HML","WML","IML","Risk_Free"
"1",2001-01-02,0.00660063299618912,0.115836998554702,0.0508872839248176,-0.00491699156566598,0.00787837722566824,0.000578516538294771
"2",2001-01-03,0.0624274996058562,0.0383097794542943,0.0195964359178034,-0.0370932141717329,0.0180703350443608,0.00057714347804283
"3",2001-01-04,-0.000309833342028013,-0.0140667877595037,-0.00973132327990063,-0.000441283168001241,-0.0143716759187882,0.000573708756889779
"4",2001-01-05,-0.0128392353318345,0.0156393037758855,8.25082640607466e-05,0.010017253089272,0.0257814401566646,0.000572677763190921
"5",2001-01-08,0.00398162807603109,-0.00459740516351174,0.0144984002190176,-0.00963693356977815,-0.000267688721071843,0.000572677763190921
"6",2001-01-09,0.0199855276654464,0.00342015305856644,0.0152796758469866,0.0002376375179041,-0.00200432479424472,0.0005699271423385
"7",2001-01-10,-0.00436797377514173,0.0161304109574545,0.00296960312288132,-0.00643063816162384,0.0243509469709617,0.000569583181243116
"8",2001-01-11,0.00469360574029393,-0.0115939056080443,0.00701021508707621,0.000196138636526085,-0.00891462336784425,0.000567862930444862
"9",2001-01-12,-0.00678320612226092,0.0107793602726503,0.00628914327298727,-0.000191599696690471,0.0151097720407849,0.000567174622212674
"10",2001-01-15,0.00510991742341345,-0.00295184602515867,0.00309327576365012,-0.0113264527031253,0.00172728037585568,0.000565797649100475
"11",2001-01-16,-0.00747278570079592,0.00321781114952448,-0.00457068170139305,0.02962915759157,0.00317574402249454,0.000566486195111571
"12",2001-01-17,0.0209894176458073,0.0138123506876343,0.011432112170192,0.00382276288982064,-0.00160540579748055,0.000565108984138085
"13",2001-01-18,0.0228937193185338,-0.0218466468929085,-0.00473862341175642,0.0183492287061131,-0.00191465668350923,0.000564420200183324
"14",2001-01-19,0.00566603796600877,0.00893711605650914,0.000402881680232352,0.0212521224690763,0.0199430551797137,0.000563042275131487
"15",2001-01-22,-0.00717800786499928,0.00544910932708713,0.00589254243362756,0.00902084675214608,0.00552902812338131,0.000562008518680823
"16",2001-01-23,0.0199788953292881,0.0120512668697245,0.0165132791118147,-0.0187320565513723,-0.00303266304287209,0.000560974494079547
