data,market_factor
2010-02-01,0.012885185722436568
2010-02-02,0.00686013526598316
2010-02-03,0.0027314764378377197
2010-02-04,-0.04483370832012448
2010-02-05,-0.019571465327275037
2010-02-08,0.0038710396208232085
2010-02-09,0.01695282494714512
2010-02-10,0.004292617446871274
2010-02-11,0.016561699039977694
2010-02-12,-0.003440688960028101
2010-02-17,0.021432835568070827
2010-02-18,0.007193984200034056
2010-02-19,-0.005140501399743378
2010-02-22,-0.00547271464627078
2010-02-23,-0.01567072182228764
2010-02-24,-0.0029324883742764822
2010-02-25,0.005016510562687077
2010-02-26,0.0013609427685744237
2010-03-01,0.009482298554503962
2010-03-02,0.006479437806224418
2010-03-03,-0.00038612903545820834
2010-03-04,-3.5099724242557064e-05
2010-03-05,0.010744532422155447
2010-03-08,-0.0023842018994141103
2010-03-09,0.011663261274104933
2010-03-10,0.005360744094102306
2010-03-11,-0.00024936738205313415
2010-03-12,-0.006910129544544809
2010-03-15,-0.004697629368898392
2010-03-16,0.010771455829185001
2010-03-17,-0.001446924271121015
2010-03-18,-0.0007738100266606335
2010-03-19,-0.014356623810158863
2010-03-22,0.0024044281940366068
2010-03-23,0.0023771659179993424
2010-03-24,-0.005127095714663801
2010-03-25,-0.0076160922505132895
2010-03-26,-4.209259728721803e-05
2010-03-29,0.011744985623589443
2010-03-30,-0.00016851285233740416
2010-03-31,0.001706565653333643
2010-04-01,0.008913020705680738
2010-04-05,0.002916483385130281
2010-04-06,-0.0016582132402836924
2010-04-07,-0.0031249386385498613
2010-04-08,0.008446453118383594
2010-04-09,-0.00460876756841179
2010-04-12,-0.010518204988264007
2010-04-13,0.0021774326863163635
2010-04-14,0.004680475182917668
2010-04-15,-0.004287697779813635
2010-04-16,-0.01305297742294097
2010-04-19,-0.00097672332816642
2010-04-20,0.004599730681307505
2010-04-22,0.000650080528275888
2010-04-23,0.0037866798933504702
2010-04-26,-0.0086652610132221
2010-04-27,-0.03261303806243949
2010-04-28,-0.0032023621654847056
2010-04-29,0.017456736967575447
2010-04-30,-0.0037835350621552113
2010-05-03,-0.010942412477156509
2010-05-04,-0.02842217326449483
2010-05-05,0.0005952268914237308
2010-05-06,-0.01742174215268209
2010-05-07,-0.004303248987489335
2010-05-10,0.031227863600616506
2010-05-11,-0.011049851338142536
2010-05-12,0.009269237512008395
2010-05-13,-0.0037167502272535697
2010-05-14,-0.01579717765210242
2010-05-17,-0.006298600045484378
2010-05-18,-0.02529370534917049
2010-05-19,-0.016348996849383894
2010-05-20,-0.03004496011866062
2010-05-21,0.028856055422339585
2010-05-24,-0.0014621529489353918
2010-05-25,-0.010339417580558953
2010-05-26,0.006912682737766667
2010-05-27,0.03253926744997693
2010-05-28,0.0003656515009482793
2010-05-31,0.018246043755901765
2010-06-01,-0.01678639496676525
2010-06-02,0.01625605330338518
2010-06-04,-0.01485013365229038
2010-06-07,-0.003414700261660623
2010-06-08,0.00547827868249531
2010-06-09,-0.002226107930074753
2010-06-10,0.01866225575273716
2010-06-11,0.004632062468729694
2010-06-14,-0.002426344379892805
2010-06-15,0.01111165213238589
2010-06-16,0.005244698969856053
2010-06-17,-0.00444256980411964
2010-06-18,-0.002813423465920794
2010-06-21,0.007363020838722938
2010-06-22,0.0004108796430856629
2010-06-23,0.0011329772079644307
2010-06-24,-0.019428022937998498
2010-06-25,0.01314356464744435
2010-06-28,-0.006282809387238388
2010-06-29,-0.0297831483308666
2010-06-30,-0.014878116638770849
2010-07-01,0.0009942656298496354
2010-07-02,0.003712254554089996
2010-07-05,-0.008513939039132438
2010-07-06,0.01681873264487334
2010-07-07,0.012254553731827668
2010-07-08,0.0010326862833316829
2010-07-12,-0.009543539387057867
2010-07-13,0.009153783734979706
2010-07-14,-0.0036839429345477317
2010-07-15,-0.0011046331195829872
2010-07-16,-0.012127196330863298
2010-07-19,0.012723978849291448
2010-07-20,0.017592052419401677
2010-07-21,-0.0018855421819990012
2010-07-22,0.016902649077722064
2010-07-23,0.0023629362529504023
2010-07-26,0.0016240934565071175
2010-07-27,0.0022370251040831754
2010-07-28,5.860764852501523e-05
2010-07-29,-0.00014725223002943068
2010-07-30,0.005542161868894193
2010-08-02,0.014246343998375348
2010-08-03,-0.003776382111557209
2010-08-04,0.004318501817452739
2010-08-05,0.0021127634185410084
2010-08-06,-0.0069815273036119545
2010-08-09,-0.005540853876156327
2010-08-10,-0.008512228875105738
2010-08-11,-0.018400238292825128
2010-08-12,0.003058421078717138
2010-08-13,0.0019088795470530303
2010-08-16,0.008073897667475037
2010-08-17,0.01176380599655275
2010-08-18,-0.00016871691252902214
2010-08-19,-0.008330501695342317
2010-08-20,-0.0018238279701677778
2010-08-23,-0.010308910460400625
2010-08-24,-0.010932754108425606
2010-08-25,-0.006657155304286213
2010-08-26,-0.010091027475487522
2010-08-27,0.02476166690626101
2010-08-30,-0.018744720981308464
2010-08-31,0.013853602226379224
2010-09-01,0.02338766666010506
2010-09-02,-0.0038450164768434993
2010-09-03,0.0017381119076655877
2010-09-06,0.0005148524769460968
2010-09-08,-0.004859368816923949
2010-09-09,-0.0004494950998166828
2010-09-10,0.002069824206093887
2010-09-13,0.014955016447358705
2010-09-14,-0.005212811581727006
2010-09-15,0.00628454619167514
2010-09-16,-0.004782982910660791
2010-09-17,-0.007310381447275567
2010-09-20,0.013887118745673534
2010-09-21,-0.0094045012818658
2010-09-22,0.004705803247326795
2010-09-23,0.006310915286470414
2010-09-24,-0.005960803878722886
2010-09-27,0.008706119001827514
2010-09-28,0.006442482334972665
2010-09-29,0.004550185072865999
2010-09-30,0.0003895825209104933
2010-10-01,0.011621141930627021
2010-10-04,0.0029812174993236063
2010-10-05,0.0066677142259481655
2010-10-06,-0.010190514426993164
2010-10-07,-0.007301848558592913
2010-10-08,0.012834318376536615
2010-10-11,0.0012572412354530606
2010-10-13,0.007932179374347906
2010-10-14,0.0041849996289060444
2010-10-15,0.0007223817301907243
2010-10-18,0.0016054215893631367
2010-10-19,-0.024453707064342283
2010-10-20,0.0035639048757742427
2010-10-21,-0.008286465710688359
2010-10-22,-0.0008378894760079801
2010-10-25,0.003519147348908006
2010-10-26,0.014652023301152832
2010-10-27,-0.003371385551213219
2010-10-28,-0.001440036500409189
2010-10-29,0.004096857131102331
2010-11-01,0.012144940693851847
2010-11-03,0.002624003568714583
2010-11-04,0.014662851385674486
2010-11-05,-0.004992814854598928
2010-11-08,0.004712196780376473
2010-11-09,-0.010651660349666477
2010-11-10,-0.0015255594498735027
