data,retorno_carteira_tercil_1,retorno_carteira_tercil_2,retorno_carteira_tercil_3,rf_return,factor_bab
2010-03-01,0.00580568102365397,0.005895956484183396,0.014299116372372364,0.00032779999999999994,0.004276220272385389
2010-03-02,0.006015394342825592,0.0055112792945253945,0.007898310217960202,0.00032816999999999997,0.008936573427750068
2010-03-03,0.00026466701098533027,-0.002549706250688646,-0.006159634265132712,0.00032816999999999997,0.0040522938660914444
2010-03-04,-0.0009845446863898778,-0.0014615212040067977,-0.004348087818123269,0.00032779999999999994,-0.0001628544050878921
2010-03-05,0.0016789687050216037,0.0027896568035420603,-0.00011893764199010103,0.00032779999999999994,0.003579035273240139
2010-03-08,-0.005961256462786808,-0.003275789718210376,-0.002127102911393545,0.00032854,-0.01371990215257582
2010-03-09,0.011837180435530488,0.008192862227774003,0.012288789191648601,0.00032854,0.020261859039424006
2010-03-10,0.012427927131893803,0.0005262221425432345,0.010400441651163009,0.00032854,0.0229244660337574
2010-03-11,0.001169737349416804,-0.0025322214837937736,-0.0011332410013812479,0.00032816999999999997,0.0029963795565134564
2010-03-12,-0.010709200977448976,-0.007449093113838464,-0.008760475989291765,0.00032779999999999994,-0.02097594929852882
2010-03-15,-0.0011470125679308779,-0.004799619483131222,-0.014653399563483549,0.00032816999999999997,0.0061232407830768415
2010-03-16,0.005876049125217125,0.0070236460350556916,0.012816341351759295,0.00032779999999999994,0.005409004390708908
2010-03-17,0.004618090865841031,-0.0032146618922451907,-0.00604007185553993,0.00032816999999999997,0.014572972830498894
2010-03-18,0.0005912863107693809,0.0009853383899210688,0.004702507224600523,0.00032779999999999994,-0.0021952476515269413
2010-03-19,-0.006519006812536842,-0.006845801181108676,-0.008849212840291802,0.00032816999999999997,-0.010718238657981232
2010-03-22,-0.00029400985716989515,0.0012508940959515824,-0.004278663356692963,0.00032816999999999997,0.0014725426010813109
2010-03-23,-0.0007861637979108672,-0.0016546395048854534,0.0012719121586946978,0.00032816999999999997,-0.003324744556095791
2010-03-24,-0.00922450584005804,-0.00912023016372726,-0.012670337049590056,0.00032816999999999997,-0.014826916808353116
2010-03-25,-0.002602400973191322,-0.0040074083436798524,-0.0002337919103111759,0.00032779999999999994,-0.006769284068120991
2010-03-26,0.002729485894548175,-0.00160068010978741,0.001579392402180524,0.00032744,0.005035864553071156
2010-03-29,0.004349607418773528,0.010716072353698317,0.007190303468411241,0.00032598,0.005344297461318985
2010-03-30,-0.000571381003899883,-0.002238103723971432,-0.006166716098558349,0.00032707,0.0020235307592863343
2010-03-31,-0.006565752660674944,0.009712356020055383,0.0037429529787484186,0.00032779999999999994,-0.01899652038397434
2010-04-01,0.005365912868408747,-3.465963980698995e-05,0.011814345993053808,0.00032670999999999997,0.004778491324721663
2010-04-05,0.004851234797396979,-0.0020760173042713775,0.00351253019722165,0.00032779999999999994,0.009009589153868873
2010-04-06,-0.001252316414232887,-0.004558582187360153,-0.0003237138479917994,0.00032816999999999997,-0.003453166753068797
2010-04-07,-0.0015188987003106418,0.00394250782539472,-0.005045427412121888,0.00032854,-0.0009819887683138332
2010-04-08,0.0013297885224223527,0.011951189100216189,0.011398643265131538,0.00032816999999999997,-0.004869771928168154
2010-04-09,-0.005151129033801636,-0.0004041368546657532,-0.007685790758854865,0.00032816999999999997,-0.008160822517033556
2010-04-12,-0.008889015909341361,-0.00295482485884628,-0.003779792586210825,0.00032854,-0.01993623937728953
2010-04-13,0.00037768252391799396,-0.0023687421361435796,0.005593939013352293,0.00032816999999999997,-0.003365727405835152
2010-04-14,0.004921383796591827,0.008868111279764054,0.011608659455555843,0.00032779999999999994,0.0038200865510655824
2010-04-15,-0.0024431538572068368,-0.0020045380847306836,-0.004764253966857958,0.00032816999999999997,-0.0034393968295303745
2010-04-16,-0.009194002070972635,-0.008245254504107765,-0.016570499851380125,0.00032854,-0.01221483500905785
2010-04-19,-0.004053964249935316,-0.002378443981245303,-0.010825589293628864,0.00032854,-0.003385175892448929
2010-04-20,0.003231115436912638,0.0038994398623119464,0.006507251862681994,0.00032854,0.003042588050840277
2010-04-22,0.004223646202103524,0.0012910725070672073,0.007351035103502052,0.00032816999999999997,0.004924109050320873
2010-04-23,0.0047611970547177355,0.003899973580893466,0.0016197170464063457,0.00032816999999999997,0.010041187006827735
2010-04-26,-0.006973731410808547,-0.005229368579091632,-0.005824299623162945,0.00032816999999999997,-0.013873686366148549
2010-04-27,-0.017613844600935732,-0.020850254293916164,-0.027093071758971386,0.00032854,-0.025942219188687835
2010-04-28,0.0007456370702066127,-0.002675244821469175,-0.00622384520515266,0.00032816999999999997,0.005365441294734148
2010-04-29,0.008493548468772387,0.010038017161430391,0.016241497021136943,0.00035585,0.009481987463726619
2010-04-30,0.008644475876440953,0.006965575228457384,0.0060126353537977885,0.00035585,0.01662737785497392
2010-05-03,0.005070540490883001,0.0013400122573415652,0.006704078419870303,0.00035694,0.007450166665189477
2010-05-04,-0.014017996234943977,-0.025462931656875052,-0.02494099188770924,0.00035694,-0.018815220007187758
2010-05-05,-0.0009818495146590722,-0.007045688164753717,-0.004742938826506865,0.00035694,5.124284166168648e-05
2010-05-06,-0.01170904893976851,-0.022358783952887224,-0.03294721737111339,0.00035621,-0.007858011320279596
2010-05-07,0.001136702455256219,-0.011956007101009632,-0.02690040721247412,0.00035621,0.01984100736459698
2010-05-10,0.01622005620412288,0.030911025855277163,0.05539317041419219,0.00035585,0.0029387679471564176
