ticker,data,ano_mes_carteira,returns,indicator_rank,tercile
BISA3,201003,201003,3.316125386902926,1.0,1
RSID3,201003,201003,2.6112346439468355,2.0,1
GOLL54,201003,201003,2.4736842105351915,3.0,1
MYPK3,201003,201003,2.2181425485814934,4.0,1
FHER3,201003,201003,2.0980392156862746,5.0,1
MBRF3,201003,201003,2.0093102572080412,6.0,1
RAPT4,201003,201003,1.9076834318704257,7.0,1
TOTS3,201003,201003,1.861395356900445,8.0,1
BRKM5,201003,201003,1.756756756727014,9.0,1
TAMM4,201003,201003,1.725749091598392,10.0,1
MRVE3,201003,201003,1.6959879930683823,11.0,1
ARTR3,201003,201003,1.6034079346200496,12.0,1
SULA11,201003,201003,1.59401268412234,13.0,1
LREN3,201003,201003,1.5604137827241402,14.0,1
POSI3,201003,201003,1.531479191844121,15.0,1
BICB4,201003,201003,1.5254150564437443,16.0,1
RENT3,201003,201003,1.468451986732033,17.0,1
POMO4,201003,201003,1.4227924781676575,18.0,1
CYRE3,201003,201003,1.389853113037887,19.0,1
ENEV3,201003,201003,1.3880214298149642,20.0,1
DASA3,201003,201003,1.3495889842066635,21.0,1
LAND3,201003,201003,1.338146237951698,22.0,1
PDGR3,201003,201003,1.3199381762070637,23.0,1
CSAN3,201003,201003,1.2095435685072071,24.0,1
FESA4,201003,201003,1.1341820329574477,25.0,1
GVTT3,201003,201003,1.1193804306762374,26.0,1
GFSA3,201003,201003,1.114224188917814,27.0,1
AMIL3,201003,201003,1.1036668308774282,28.0,2
MULT3,201003,201003,1.079888437628382,29.0,2
PCAR4,201003,201003,1.06769060494805,30.0,2
LAME4,201003,201003,1.0385208012954965,31.0,2
MOTV3,201003,201003,1.0323121312269068,32.0,2
SUZB5,201003,201003,1.0116222627064229,33.0,2
GGBR4,201003,201003,0.9817320427226964,34.0,2
GOAU4,201003,201003,0.8774077974368115,35.0,2
TCSL4,201003,201003,0.7833329494312959,36.0,2
JBSS3,201003,201003,0.7814919594382101,37.0,2
KLBN4,201003,201003,0.7780404210867355,38.0,2
AMER3,201003,201003,0.7617060732615533,39.0,2
VIVO4,201003,201003,0.7593158958425188,40.0,2
USIM5,201003,201003,0.7109301697211285,41.0,2
CPLE6,201003,201003,0.6943240146586609,42.0,2
ABEV3,201003,201003,0.6869718745312936,43.0,2
AMBV4,201003,201003,0.6463623604526205,44.0,2
PSSA3,201003,201003,0.6332601664276591,45.0,2
AXIA3,201003,201003,0.6299994459744831,46.0,2
CSNA3,201003,201003,0.6250885809174915,47.0,2
VALE5,201003,201003,0.6226095728914036,48.0,2
GPIV33,201003,201003,0.6206896551600438,49.0,2
BRFS3,201003,201003,0.578556588045986,50.0,2
ITSA4,201003,201003,0.5785185137347437,51.0,2
WEGE3,201003,201003,0.5693512172359909,52.0,2
ALLL11,201003,201003,0.5630020658843844,53.0,2
NATU3,201003,201003,0.5296348559710415,54.0,2
ENBR3,201003,201003,0.5127518578663504,55.0,3
CNFB4,201003,201003,0.51097270433087,56.0,3
UGPA4,201003,201003,0.5105388163520355,57.0,3
SLCE3,201003,201003,0.4517626952567619,58.0,3
CRUZ3,201003,201003,0.4455919807457251,59.0,3
BRML3,201003,201003,0.4236111111290108,60.0,3
CSMG3,201003,201003,0.3952370230817257,61.0,3
FFTL4,201003,201003,0.3742647059635275,62.0,3
ELPL4,201003,201003,0.3326993468087564,63.0,3
EMBJ3,201003,201003,0.3194011228806073,64.0,3
CGAS5,201003,201003,0.276609027483137,65.0,3
NETC4,201003,201003,0.2755997659449285,66.0,3
CLSC4,201003,201003,0.2366210534053925,67.0,3
PETR4,201003,201003,0.2362508573758621,68.0,3
EGIE3,201003,201003,0.225076669583681,69.0,3
GETI4,201003,201003,0.2167635060837773,70.0,3
CMIG4,201003,201003,0.2009791992067182,71.0,3
CPFE3,201003,201003,0.1935756551868097,72.0,3
TIMS3,201003,201003,0.1864406779718717,73.0,3
