data,retorno_carteira_tercil_1,retorno_carteira_tercil_2,retorno_carteira_tercil_3,factor_size
2010-01-04,0.0140137190908146,0.0073595772412517095,0.020610393576163285,-0.006596674485348685
2010-01-05,-0.0035927598907714215,-3.5016588391112435e-05,0.006502805856345258,-0.01009556574711668
2010-01-06,0.01741124621013848,0.006096577852453526,0.004335240332334134,0.013076005877804348
2010-01-07,0.005721865469955663,-0.002740753488225156,-0.003987903932344128,0.00970976940229979
2010-01-08,0.0063046597408335315,-0.0013773119198587517,-0.002819064204054015,0.009123723944887547
2010-01-11,0.008422658301435371,0.004262535804325614,0.0012544545942266504,0.00716820370720872
2010-01-12,-0.0003465395883698606,0.0016747368452968425,-0.006693672446787821,0.00634713285841796
2010-01-13,-0.0011350924084336548,-0.0013617086717342666,0.0014387294027825126,-0.0025738218112161676
2010-01-14,-0.006126917129900347,-0.005727426730243997,-0.000124853156832568,-0.006002063973067779
2010-01-15,-0.005642267167818499,-0.011635252308890402,-0.014935771605622147,0.009293504437803649
2010-01-18,0.0036036213479556153,-0.0016879794935829805,0.0038059826632074857,-0.00020236131525187048
2010-01-19,0.010502116751759332,0.006664688697091044,0.006579609777479149,0.0039225069742801835
2010-01-20,-0.015487232379536682,-0.020749484950826104,-0.01885940740373636,0.003372175024199677
2010-01-21,-0.028396384474267834,-0.017183644568995907,-0.01994289884988502,-0.008453485624382813
2010-01-22,0.0038975106692330725,-0.006392993185845537,0.010112457892914213,-0.006214947223681141
2010-01-26,-0.011380814583633441,-0.004381556631101717,-0.01187490469690109,0.0004940901132676478
2010-01-27,-0.010078240234894464,-0.007922488550246139,-0.004035616627364787,-0.006042623607529676
2010-01-28,0.0025180308537801426,-0.00423740778648037,0.006711126120353817,-0.004193095266573674
2010-01-29,0.007908741221133164,0.003945144635010804,-0.004976774794705962,0.012885516015839127
2010-02-01,0.012058164737869961,0.014890822494370348,0.010351463931440142,0.001706700806429819
2010-02-02,0.013223800095611462,0.0057023572821850365,0.00952603074023078,0.0036977693553806815
2010-02-03,0.002196164684294725,0.0033859537893375737,0.0021955455117975624,6.191724971627011e-07
2010-02-04,-0.04377389694766678,-0.033522476165404845,-0.042778860954112694,-0.0009950359935540845
2010-02-05,-0.02798852500357941,-0.01270753712854044,-0.020050736819760318,-0.007937788183819093
2010-02-08,0.010636410236632905,0.011614789207394631,0.004678281582611454,0.005958128654021451
2010-02-09,0.021123793685359875,0.022968584732942235,0.017959535441198278,0.003164258244161597
2010-02-10,0.01071488474025506,0.004947183658587876,0.0003880745236527372,0.010326810216602322
2010-02-11,0.00733939078833414,0.008154565763838207,0.017473437194990848,-0.010134046406656709
2010-02-12,-0.0028893612538883695,-0.0027279142293004286,-0.0072514897388812815,0.004362128484992912
2010-02-17,0.01840237828197829,0.01108653482159346,0.018073781385680266,0.00032859689629802236
2010-02-18,0.010843476886035439,-0.001764107688501885,0.005824794045722988,0.005018682840312451
2010-02-19,-0.0032541221116944613,-0.0051296397390883765,-0.0034133585638052356,0.00015923645211077427
2010-02-22,0.0004994304930379509,-0.004565215622742432,-0.007308487631015677,0.007807918124053628
2010-02-23,-0.008308880700723997,-0.013752329517044859,-0.01773424978876413,0.009425369088040134
2010-02-24,-0.00469260996273782,-0.008206000105002364,-0.00025648919321839364,-0.0044361207695194265
2010-02-25,-0.0017673168765556721,0.0007996161580624069,0.0033703604640192026,-0.005137677340574875
2010-02-26,0.005143311931831021,0.010219154485666952,-0.0023433378371868394,0.0074866497690178595
2010-03-01,0.005516455327151143,0.010553312532229945,0.011096223844684413,-0.00557976851753327
2010-03-02,0.007852235813985245,0.0072239212080053945,0.00463910947444005,0.0032131263395451942
2010-03-03,-0.011339514162962043,-0.0017685591151751243,0.002218040155753261,-0.013557554318715304
2010-03-04,-0.004295228899754263,-0.004522692323707885,0.0011267168486374657,-0.005421945748391729
2010-03-05,-0.0004989801680442393,-0.0009737620992884888,0.009643295469013753,-0.010142275637057992
2010-03-08,-0.0011113503835886401,-0.00510425862122054,-0.005117083398708337,0.004005733015119696
2010-03-09,0.006887012439828358,0.010267913544271597,0.01296446599989148,-0.006077453560063122
2010-03-10,0.005055101770712722,0.008225180707527917,0.00874426094369386,-0.0036891591729811372
2010-03-11,0.0010811524607842143,-0.0016734329040621776,0.0015273064967225173,-0.00044615403593830294
2010-03-12,-0.009642379468656417,-0.007680937845474707,-0.008583862584361819,-0.0010585168842945983
2010-03-15,-0.008468817359755567,-0.008922716889382398,-0.004153891062485374,-0.004314926297270193
2010-03-16,0.010433919275040246,0.006418239877279537,0.008477752236283175,0.0019561670387570704
2010-03-17,-0.0059893008874942555,0.0013194772205654016,0.0007558812078842828,-0.006745182095378538
2010-03-18,0.0018284618281172846,0.004184556769691586,0.0019216081677467726,-9.314633962948806e-05
2010-03-19,0.0006349848234159358,-0.009153671091339204,-0.013799763605325843,0.014434748428741779
2010-03-22,-0.006116532225967574,0.0006193893767167058,0.0033771704851519777,-0.009493702711119552
2010-03-23,0.0002473432205018976,-1.4096251974526908e-05,0.0020616434908478348,-0.001814300270345937
2010-03-24,-0.009744215971206489,-0.0152469344035378,-0.006922833239139281,-0.002821382732067208
2010-03-25,-0.00025718423514058716,-0.0011622404232326188,-0.006312811706819714,0.006055627471679126
2010-03-26,-0.005870901129285182,0.004344459930370684,0.004367630515777954,-0.010238531645063137
2010-03-29,-0.0005617696496968376,0.007453319361046662,0.015105572835370314,-0.01566734248506715
2010-03-30,-0.002349997215539531,-0.007898240843500166,0.002548367361819896,-0.004898364577359426
2010-03-31,0.0019483694712736327,0.0016204555384483066,0.001804578312539351,0.00014379115873428168
2010-04-01,0.002362257005997118,0.005424801114238701,0.010658177961770892,-0.008295920955773774
2010-04-05,0.0019406434129800667,-0.0015988112150739364,0.004470169032557703,-0.002529525619577636
2010-04-06,-0.0013710908306282718,-0.0023485400612662283,-0.0033193667143147643,0.0019482758836864924
2010-04-07,0.0002571445500676252,-0.0038896139443849805,-0.0027740336239551262,0.0030311781740227513
2010-04-08,0.009705349761603933,0.010290610066745805,0.008728049067021227,0.000977300694582706
2010-04-09,0.0005362993746470535,-0.009548410129148591,-0.0038915701531189433,0.004427869527765997
2010-04-12,-0.004718560197299521,-0.0011205939273347823,-0.01102823415734443,0.00630967396004491
2010-04-13,0.00010002487258265707,0.003922936004570206,0.0017438398836570612,-0.001643815011074404
2010-04-14,0.013657260385675727,0.007226153337596294,0.0038393642813337016,0.009817896104342024
2010-04-15,-0.0021477982211506558,-0.0019033189431304314,-0.004094223215881517,0.001946424994730861
2010-04-16,-0.009703785855391263,-0.012151946103314486,-0.012018854890384848,0.0023150690349935856
2010-04-19,-0.00778346500994865,-0.003487229621959294,-0.004030860074346121,-0.003752604935602529
2010-04-20,0.003456954982213204,0.003557402137235351,0.006022095314182367,-0.0025651403319691627
2010-04-22,0.006907568798602318,0.004990078693316905,0.001954179723009523,0.004953389075592795
2010-04-23,0.0044905648937155086,-0.0007429453616215498,0.004988188025768651,-0.0004976231320531427
2010-04-26,-0.0016835185230176322,-0.004484724640246973,-0.010957397424048469,0.009273878901030836
2010-04-27,-0.017834699935140728,-0.021748348093733872,-0.02639760201969301,0.008562902084552283
2010-04-28,-0.0031617031345991015,-0.0033762351411782522,-0.003793653181998043,0.0006319500473989416
2010-04-29,0.009676106344840004,0.012251850442988358,0.012968048986714135,-0.003291942641874131
2010-04-30,0.0056978571148049795,0.0067767849926428335,0.005159026362774289,0.0005388307520306909
2010-05-03,0.0070771223465952516,0.008310272811765192,-0.0014366876870502531,0.008513810033645505
2010-05-04,-0.020889288780208393,-0.01912357854505329,-0.02748749542703629,0.006598206646827896
2010-05-05,-0.008617304221518447,-0.004849977499809173,0.0011385223755275508,-0.009755826597045998
2010-05-06,-0.029854508786630707,-0.025461415563696403,-0.015126554880065323,-0.014727953906565384
2010-05-07,-0.018965347835980303,-0.012893854685982434,-0.006048922036666845,-0.012916425799313458
2010-05-10,0.044785446269540355,0.03412878436408772,0.031053271795692138,0.013732174473848217
2010-05-11,-0.007971532095298032,-0.010658502039384041,-0.00324353238877636,-0.004727999706521671
2010-05-12,0.017705833875480668,0.007382707089023336,0.013930842663904626,0.0037749912115760415
2010-05-13,-0.002102048307913749,-0.008451083929458963,0.004432731168184371,-0.00653477947609812
2010-05-14,-0.024378674781005385,-0.022429362907392794,-0.014644433591509168,-0.009734241189496217
2010-05-17,-0.010092204205393513,-0.009375094875494165,-0.001430087970198446,-0.008662116235195068
2010-05-18,-0.024264546531697066,-0.02301558111150891,-0.024333910258872684,6.93637271756177e-05
2010-05-19,-0.02848281526092105,-0.010162652378409137,-0.00986264562128455,-0.018620169639636502
2010-05-20,-0.023774529249177424,-0.016562455525623253,-0.030104678082274974,0.00633014883309755
2010-05-21,0.03566847728017946,0.028065971252233726,0.021833376920604268,0.013835100359575192
2010-05-24,-0.008862140056913317,-0.0036972517193997268,0.004805953855126466,-0.013668093912039783
2010-05-25,-0.010127316108557901,-0.012780738376174442,-0.013054045175831067,0.0029267290672731656
2010-05-26,0.01666500701020892,0.01822304637091066,0.0158187842294921,0.0008462227807168182
2010-05-27,0.03439546054396892,0.030491080776621816,0.02403019053109427,0.010365270012874652
2010-05-28,0.005491675114115453,-0.002411735512318432,-0.002262293400415775,0.007753968514531228
2010-05-31,0.01432077421521792,0.009903336404329794,0.01368922013757757,0.0006315540776403502
2010-06-01,-0.015272174074531714,-0.016904018262295883,-0.014116174449584093,-0.001155999624947621
2010-06-02,0.01259890786220859,0.018598691031220107,0.014057461126144222,-0.0014585532639356316
2010-06-04,-0.007468735096723467,-0.012641734867050666,-0.015717826441853707,0.00824909134513024
2010-06-07,-0.005748117765208219,-0.001532799628032253,-0.0014792118072702236,-0.004268905957937996
2010-06-08,0.0072680069793317915,0.0040874255380799205,0.006006193570279209,0.0012618134090525823
2010-06-09,-0.003949899411796766,-0.002851617271856248,-0.0039082886749949195,-4.161073680184618e-05
2010-06-10,0.018423614434593526,0.019694884773483884,0.02555151614951118,-0.007127901714917655
2010-06-11,0.012764310290460443,0.006835777921435431,0.008954613039759814,0.0038096972507006294
2010-06-14,0.0004753015621610869,0.005727318796615615,2.8407317083212203e-05,0.0004468942450778747
2010-06-15,0.017943108454724885,0.015102288537234242,0.013329763545791566,0.004613344908933319
2010-06-16,0.0018675286310823483,-0.002282649122109017,0.0031378061210083313,-0.001270277489925983
2010-06-17,0.0004369459986152957,0.0013008715870306122,-0.004413517296522155,0.004850463295137451
2010-06-18,0.002492208505016453,0.0022992387270589386,-0.0006999859208448108,0.0031921944258612635
