ano,empresa,ticker,total_volume_negociado,flag_trading_days,menor_data,pat_liq,market_cap
2010,ABEV,ABEV3,1107117.277,1.0,1.0,21515033.0,71028530.6
2010,AGIN,AGIN3,2088950.8090000001,1.0,1.0,895703.0,667638.63
2010,ALLL,ALLL11,11424850.336,1.0,1.0,2563210.0,7722949.61
2010,AMBV,AMBV4,10879162.245000001,1.0,1.0,21515033.0,71028530.6
2010,AMER,AMER3,6469362.523999998,1.0,1.0,231120.0,4089299.34
2010,AMIL,AMIL3,845075.233,1.0,1.0,1234505.0,3376173.15
2010,ARCZ,ARCZ6,9526120.73,1.0,1.0,1574445.0,8476103.4
2010,ARTR,ARTR3,595341.977,1.0,1.0,863593.0,1501091.31
2010,AXIA,AXIA3,7602093.613,1.0,1.0,84360071.0,30807732.276
2010,B3SA,B3SA3,38951106.767000005,1.0,1.0,19557984.0,23588909.781
2010,BICB,BICB4,635932.185,1.0,1.0,1698424.0,1872402.2
2010,BISA,BISA3,2055048.0659999999,1.0,1.0,1809539.0,1495784.48
2010,BRFS,BRFS3,12555438.598000001,1.0,1.0,4012272.0,7744785.675
2010,BRKM,BRKM5,3202291.5759999994,1.0,1.0,4998059.0,3690547.736
2010,BRML,BRML3,2433783.9499999997,1.0,1.0,1836996.0,2526801.6
2010,CGAS,CGAS5,593803.763,1.0,1.0,1183329.0,3790796.45
2010,CIEL,CIEL3,18418460.924,1.0,6.0,195542.0,22996610.4
2010,CLSC,CLSC4,599878.773,1.0,1.0,1714518.0,1339965.28
2010,CMIG,CMIG4,11849326.066,1.0,1.0,10210838.0,14768654.55
2010,CNFB,CNFB4,1120682.939,1.0,1.0,1258536.0,1902414.92
2010,CPFE,CPFE3,4399100.732,1.0,1.0,5020641.0,15275565.156
2010,CPLE,CPLE6,4474212.366,1.0,1.0,8615151.0,7282251.3335
2010,CRUZ,CRUZ3,4561812.640000001,1.0,1.0,2218089.0,17063615.8
